PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
39.770000,82.610001,18.379999,18.230000,0.840000,46.709999,-5.270000,5.080000,281.010010,35.029999,93182.039062,28.3,108.78,66.305000,PM10,6402
42.490002,92.070000,19.290001,22.020000,0.930000,45.070000,-4.050000,4.010000,280.769989,35.599998,93681.671875,28.29,108.93,71.035004,PM10,6403
44.660000,96.620003,19.549999,25.090000,0.940000,43.410000,-3.910000,3.040000,281.709991,32.889999,95118.726562,28.29,109.08,73.309998,PM10,6404
41.189999,78.250000,20.930000,16.770000,0.760000,43.709999,-6.790000,3.440000,282.119995,35.090000,94693.343750,28.44,108.63,64.125000,PM10,6582
43.290001,86.160004,22.650000,20.180000,0.850000,43.400002,-5.760000,2.700000,280.660004,38.220001,93717.039062,28.43,108.78,68.080002,PM10,6583
45.590000,94.300003,24.059999,23.780001,0.930000,42.310001,-4.340000,2.230000,280.589996,38.220001,94198.453125,28.43,108.94,72.150002,PM10,6584
47.430000,97.800003,25.150000,26.809999,0.930000,41.770000,-3.630000,1.540000,281.059998,36.279999,95107.656250,28.42,109.09,73.900002,PM10,6585
83.550003,113.290001,28.309999,29.049999,0.970000,46.290001,-0.990000,11.450000,282.779999,46.570000,90060.726562,28.62,106.47,110.687500,PM2.5,6757
44.049999,78.279999,23.370001,16.480000,0.720000,41.970001,-6.930000,1.360000,281.619995,37.779999,94891.851562,28.57,108.63,64.139999,PM10,6771
45.610001,83.290001,22.430000,18.850000,0.760000,41.939999,-5.680000,1.230000,279.950012,40.930000,93321.476562,28.57,108.79,66.645004,PM10,6772
47.540001,88.949997,22.309999,21.930000,0.810000,42.110001,-4.270000,1.140000,280.209991,40.439999,94432.382812,28.56,108.94,69.474998,PM10,6773
48.540001,91.120003,22.110001,24.680000,0.820000,42.570000,-4.170000,1.430000,280.779999,37.660000,95471.601562,28.56,109.1,70.559998,PM10,6774
50.070000,90.919998,19.959999,26.150000,0.780000,42.939999,-4.520000,0.820000,281.239990,35.669998,96482.148438,28.55,109.25,70.459999,PM10,6775
105.870003,141.589996,28.440001,34.270000,1.080000,39.820000,-0.270000,9.860000,284.959991,45.529999,92944.953125,28.76,106.32,138.587509,PM2.5,6949
91.279999,122.480003,26.740000,29.389999,1.010000,44.500000,-0.630000,9.890000,284.500000,44.220001,92113.656250,28.75,106.47,120.349998,PM2.5,6950
78.059998,103.269997,22.790001,23.309999,0.910000,47.869999,-1.920000,9.120000,285.940002,36.840000,94023.328125,28.75,106.63,103.824997,PM2.5,6951
67.800003,85.570000,18.969999,16.709999,0.750000,51.049999,-4.640000,8.870000,286.670013,32.439999,95599.820312,28.75,106.78,91.000000,PM2.5,6952
44.570000,69.949997,23.250000,12.960000,0.620000,43.810001,-7.380000,1.960000,280.720001,39.599998,93414.296875,28.71,108.48,61.962502,PM2.5,6963
46.230000,75.440002,24.260000,15.200000,0.680000,41.540001,-6.620000,0.350000,279.779999,42.090000,93007.023438,28.71,108.64,64.037498,PM2.5,6964
47.070000,78.239998,22.690001,17.270000,0.690000,41.669998,-4.700000,0.110000,279.429993,43.049999,93326.281250,28.7,108.79,65.087502,PM2.5,6965
49.090000,82.559998,21.610001,20.160000,0.740000,42.119999,-3.180000,0.450000,280.549988,40.540001,95545.796875,28.7,108.95,67.612503,PM2.5,6966
49.259998,84.330002,21.219999,22.850000,0.780000,43.099998,-3.830000,1.470000,281.600006,36.299999,97022.070312,28.69,109.1,67.824997,PM2.5,6967
120.230003,160.550003,27.030001,38.040001,1.180000,35.340000,0.500000,7.650000,286.570007,42.529999,95499.601562,28.89,106.32,157.471436,PM2.5,7148
100.959999,134.360001,24.660000,31.180000,1.070000,40.410000,-1.400000,7.200000,286.100006,41.650002,94556.312500,28.89,106.47,132.449997,PM2.5,7149
79.629997,103.300003,20.049999,22.320000,0.890000,47.900002,-3.950000,7.320000,286.670013,35.549999,95503.320312,28.89,106.63,105.787498,PM2.5,7150
72.139999,89.260002,17.250000,16.860001,0.750000,51.500000,-6.540000,8.290000,286.390015,32.919998,95831.359375,28.89,106.78,96.425003,PM2.5,7151
69.220001,82.019997,16.090000,11.680000,0.670000,55.130001,-9.790000,8.860000,283.970001,36.270000,93275.210938,28.88,106.94,92.775002,PM2.5,7152
75.489998,87.750000,15.480000,9.230000,0.690000,51.189999,-7.110000,5.650000,278.209991,52.040001,88364.140625,28.88,107.25,100.612495,PM2.5,7154
46.869999,67.919998,23.549999,12.440000,0.590000,43.480000,-8.260000,4.330000,279.839996,39.900002,91717.703125,28.85,108.49,64.837502,PM2.5,7162
49.669998,74.080002,25.709999,14.710000,0.650000,40.849998,-6.910000,2.030000,278.089996,44.540001,90764.828125,28.84,108.64,68.337494,PM2.5,7163
51.470001,78.070000,27.059999,17.459999,0.700000,40.279999,-3.890000,0.260000,278.790009,44.360001,92737.960938,28.84,108.8,70.587502,PM2.5,7164
51.840000,78.500000,21.760000,18.580000,0.730000,41.720001,-2.430000,-0.050000,280.989990,40.029999,96492.406250,28.84,108.95,71.050003,PM2.5,7165
50.680000,78.589996,18.670000,19.610001,0.750000,43.320000,-3.930000,1.010000,281.950012,35.450001,97356.421875,28.83,109.11,69.599998,PM2.5,7166
145.509995,198.259995,22.160000,49.040001,1.320000,25.570000,1.440000,1.570000,286.670013,45.009998,98630.867188,29.03,105.85,193.585709,PM2.5,7347
142.570007,192.350006,24.049999,46.630001,1.300000,28.000000,1.780000,3.340000,287.209991,43.470001,98648.882812,29.03,106.01,189.385727,PM2.5,7348
136.669998,183.410004,24.990000,43.380001,1.270000,30.799999,1.460000,5.030000,287.690002,41.680000,98364.351562,29.03,106.17,180.957138,PM2.5,7349
130.750000,174.309998,24.670000,39.880001,1.240000,33.419998,0.130000,5.580000,287.670013,40.529999,97678.632812,29.03,106.32,172.500000,PM2.5,7350
118.459999,155.460007,22.450001,35.009998,1.160000,36.990002,-2.030000,5.750000,287.029999,40.279999,96778.351562,29.03,106.48,154.942856,PM2.5,7351
85.449997,109.449997,17.900000,22.709999,0.910000,47.450001,-4.300000,7.550000,286.649994,35.770000,96066.539062,29.02,106.63,113.062500,PM2.5,7352
76.199997,93.660004,15.860000,16.059999,0.770000,52.439999,-6.190000,9.870000,285.859985,33.459999,95210.531250,29.02,106.79,101.500000,PM2.5,7353
71.870003,85.010002,15.070000,11.710000,0.690000,55.959999,-8.240000,10.260000,284.679993,34.130001,93602.710938,29.02,106.94,96.087502,PM2.5,7354
68.050003,78.050003,14.770000,8.750000,0.630000,58.560001,-9.700000,10.130000,280.940002,40.750000,89220.539062,29.02,107.1,91.312500,PM2.5,7355
73.620003,84.949997,14.510000,8.450000,0.660000,52.790001,-8.120000,9.450000,277.269989,52.880001,86610.101562,29.01,107.25,98.275002,PM2.5,7356
61.540001,77.019997,18.059999,8.740000,0.650000,45.450001,-4.570000,5.190000,279.269989,47.970001,90288.187500,29.0,107.87,83.175003,PM2.5,7360
49.730000,65.760002,22.150000,11.270000,0.570000,43.529999,-4.160000,3.970000,281.709991,38.240002,94050.703125,28.99,108.34,68.412498,PM2.5,7363
48.590000,64.790001,23.250000,11.760000,0.560000,43.389999,-7.020000,5.230000,280.989990,37.119999,92792.117188,28.99,108.49,66.987503,PM2.5,7364
50.939999,68.639999,24.170000,13.110000,0.590000,42.790001,-7.280000,4.480000,278.239990,42.869999,90450.937500,28.98,108.65,69.924995,PM2.5,7365
55.169998,75.180000,25.290001,15.800000,0.670000,39.990002,-4.360000,1.830000,278.040009,46.060001,91846.953125,28.98,108.8,75.212494,PM2.5,7366
54.650002,75.150002,19.980000,16.459999,0.720000,41.840000,-2.490000,-0.030000,280.549988,41.060001,95743.406250,28.97,108.96,74.562500,PM2.5,7367
