PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
47.959999,51.119999,16.620001,1.920000,0.250000,101.489998,3.890000,9.070000,287.880005,98.940002,74905.593750,32.71,104.6,66.199997,PM2.5,13804
45.310001,48.580002,16.959999,2.390000,0.250000,102.570000,2.790000,8.360000,292.260010,86.889999,80219.359375,32.71,104.76,62.887501,PM2.5,13805
45.049999,47.950001,16.850000,3.160000,0.260000,100.559998,-0.090000,6.210000,295.320007,83.139999,85084.031250,32.71,104.92,62.562500,PM2.5,13806
46.669998,49.840000,16.250000,3.720000,0.270000,98.029999,-1.420000,4.270000,295.359985,88.040001,86563.882812,32.71,105.08,64.587494,PM2.5,13807
46.450001,49.750000,15.510000,3.470000,0.270000,99.519997,-0.800000,3.210000,295.519989,89.440002,86818.718750,32.71,105.24,64.312500,PM2.5,13808
43.720001,46.599998,16.110001,1.730000,0.240000,99.809998,4.370000,10.760000,288.890015,85.739998,74130.179688,32.84,104.43,60.900002,PM2.5,14060
42.700001,45.610001,16.090000,1.990000,0.250000,98.279999,1.530000,8.990000,292.350006,76.970001,78586.953125,32.84,104.6,59.625000,PM2.5,14061
43.639999,46.750000,16.139999,2.610000,0.250000,98.220001,-1.860000,6.200000,294.160004,80.849998,82854.968750,32.84,104.76,60.799999,PM2.5,14062
44.910000,47.889999,15.840000,3.120000,0.260000,97.099998,-2.910000,4.630000,295.269989,85.919998,86086.039062,32.84,104.92,62.387501,PM2.5,14063
45.740002,48.599998,15.810000,3.250000,0.260000,98.489998,-2.550000,4.830000,295.049988,88.900002,85822.468750,32.84,105.08,63.425003,PM2.5,14064
47.240002,50.410000,14.800000,3.080000,0.260000,98.120003,-1.290000,4.650000,294.029999,94.410004,84776.960938,32.84,105.24,65.300003,PM2.5,14065
41.680000,44.470001,15.160000,2.090000,0.240000,93.379997,-1.500000,5.890000,292.410004,75.300003,78296.718750,32.98,104.43,58.349998,PM2.5,14317
43.509998,46.369999,15.280000,2.450000,0.250000,94.129997,-4.770000,4.180000,292.899994,84.669998,81373.546875,32.98,104.59,60.637497,PM2.5,14318
46.250000,49.209999,15.340000,2.750000,0.250000,94.800003,-4.310000,3.790000,292.220001,94.769997,82178.093750,32.98,104.76,64.062500,PM2.5,14319
45.580002,48.410000,15.070000,2.900000,0.260000,95.809998,-2.980000,3.690000,293.950012,92.959999,85098.023438,32.98,104.92,63.225002,PM2.5,14320
45.340000,47.970001,15.330000,2.840000,0.260000,98.550003,-2.460000,5.110000,294.140015,92.360001,84609.453125,32.98,105.08,62.924999,PM2.5,14321
47.020000,50.049999,14.090000,2.740000,0.260000,96.220001,-1.740000,5.040000,293.230011,96.739998,83787.968750,32.98,105.24,65.025002,PM2.5,14322
44.349998,47.189999,13.450000,2.460000,0.250000,98.510002,-0.970000,3.280000,294.209991,94.349998,85450.390625,32.98,105.41,61.687500,PM2.5,14323
40.779999,43.470001,12.690000,2.230000,0.240000,99.599998,-0.100000,2.550000,295.119995,91.559998,86468.812500,32.98,105.57,57.224998,PM2.5,14324
39.700001,42.410000,12.790000,2.790000,0.240000,99.230003,0.530000,2.020000,296.089996,87.940002,87638.046875,32.98,105.73,55.875000,PM2.5,14325
38.740002,41.730000,12.740000,3.540000,0.250000,94.379997,0.510000,2.550000,297.459991,82.040001,89175.890625,32.98,105.89,54.675003,PM2.5,14326
42.480000,45.279999,14.550000,2.290000,0.240000,91.089996,-6.610000,2.960000,292.609985,83.510002,80348.476562,33.11,104.43,59.349998,PM2.5,14579
45.290001,48.090000,14.780000,2.340000,0.250000,92.239998,-6.090000,4.440000,290.510010,96.440002,78937.523438,33.11,104.59,62.862503,PM2.5,14580
47.529999,50.380001,14.820000,2.620000,0.250000,92.500000,-3.530000,4.980000,290.670013,99.919998,80034.062500,33.12,104.76,65.662498,PM2.5,14581
45.900002,48.700001,14.780000,2.540000,0.250000,95.980003,-2.510000,5.140000,292.309998,97.680000,82677.976562,33.12,104.92,63.625000,PM2.5,14582
46.000000,48.820000,14.830000,2.500000,0.250000,97.050003,-2.160000,6.140000,292.470001,96.879997,82251.492188,33.12,105.08,63.750000,PM2.5,14583
46.759998,49.720001,13.940000,2.420000,0.250000,95.970001,-1.770000,5.670000,292.230011,98.919998,82275.562500,33.12,105.24,64.699997,PM2.5,14584
44.759998,47.330002,13.360000,2.240000,0.240000,98.790001,-0.780000,4.490000,292.500000,98.980003,82898.023438,33.11,105.41,62.199997,PM2.5,14585
42.169998,44.820000,12.370000,2.170000,0.240000,97.139999,0.170000,4.490000,293.290009,97.080002,83970.046875,33.11,105.57,58.962498,PM2.5,14586
39.709999,42.369999,12.590000,2.980000,0.240000,97.129997,0.530000,3.360000,295.130005,90.860001,86370.281250,33.11,105.73,55.887497,PM2.5,14587
37.320000,40.070000,12.600000,3.850000,0.250000,92.510002,-0.090000,3.030000,296.820007,84.680000,88502.406250,33.11,105.89,52.900002,PM2.5,14588
21.910000,22.840000,4.700000,0.930000,0.160000,84.470001,3.430000,5.940000,285.079987,79.300003,64074.179688,33.21,101.83,31.299999,PM2.5,14824
22.010000,22.980000,4.880000,1.070000,0.160000,83.889999,3.140000,5.670000,286.790009,73.650002,65778.750000,33.22,101.99,31.442858,PM2.5,14825
42.660000,45.360001,13.990000,2.160000,0.240000,91.040001,-5.210000,4.310000,290.600006,91.570000,78274.218750,33.25,104.43,59.575001,PM2.5,14840
46.090000,48.820000,14.520000,2.200000,0.240000,91.900002,-4.150000,7.050000,288.890015,99.610001,76474.000000,33.25,104.59,63.862499,PM2.5,14841
47.410000,50.150002,14.560000,2.520000,0.250000,92.389999,-2.400000,6.650000,289.980011,99.970001,78605.820312,33.25,104.76,65.512497,PM2.5,14842
45.709999,48.520000,14.840000,2.350000,0.250000,96.830002,-2.010000,7.100000,291.579987,97.610001,81008.437500,33.25,104.92,63.387497,PM2.5,14843
45.119999,47.939999,14.760000,2.200000,0.250000,98.150002,-1.970000,7.260000,292.119995,96.190002,81370.789062,33.25,105.08,62.649998,PM2.5,14844
45.330002,48.230000,13.970000,2.090000,0.240000,97.209999,-1.550000,7.060000,291.700012,96.910004,81009.226562,33.25,105.24,62.912502,PM2.5,14845
43.869999,46.549999,13.200000,1.990000,0.240000,97.720001,-0.420000,6.750000,291.679993,97.730003,81149.953125,33.25,105.41,61.087498,PM2.5,14846
41.160000,43.529999,12.400000,2.130000,0.230000,97.589996,0.090000,5.980000,293.119995,94.970001,83121.742188,33.25,105.57,57.700001,PM2.5,14847
38.980000,41.509998,12.370000,3.100000,0.240000,95.370003,0.090000,4.910000,294.790009,90.529999,85508.796875,33.25,105.73,54.974998,PM2.5,14848
22.020000,22.980000,4.790000,1.110000,0.160000,83.099998,3.180000,4.860000,286.609985,75.000000,65631.039062,33.35,101.99,31.457144,PM2.5,15083
22.010000,23.010000,4.860000,1.220000,0.160000,82.809998,3.210000,5.380000,287.299988,72.730003,66375.000000,33.36,102.15,31.442858,PM2.5,15084
41.730000,44.189999,12.300000,2.060000,0.220000,86.349998,-2.380000,4.100000,286.299988,99.360001,71915.132812,33.39,104.27,58.412498,PM2.5,15097
44.419998,47.060001,13.530000,2.160000,0.240000,87.919998,-2.080000,6.410000,288.019989,99.110001,74926.039062,33.39,104.43,61.774998,PM2.5,15098
45.369999,48.049999,14.260000,2.130000,0.240000,91.580002,-2.520000,7.480000,289.059998,97.889999,76523.562500,33.39,104.59,62.962498,PM2.5,15099
46.169998,48.970001,14.610000,2.650000,0.250000,92.389999,-2.150000,6.470000,290.540009,97.660004,79204.656250,33.39,104.76,63.962498,PM2.5,15100
43.799999,46.610001,14.880000,2.480000,0.250000,96.730003,-1.590000,6.690000,292.730011,91.870003,82023.257812,33.39,104.92,61.000000,PM2.5,15101
43.669998,46.470001,14.640000,2.210000,0.240000,97.470001,-1.530000,7.190000,292.559998,91.949997,81438.203125,33.39,105.08,60.837498,PM2.5,15102
44.500000,47.299999,13.860000,2.030000,0.240000,96.730003,-0.800000,8.190000,291.329987,94.680000,79948.726562,33.39,105.24,61.875000,PM2.5,15103
42.509998,45.160000,13.020000,1.980000,0.240000,96.570000,-0.090000,8.090000,292.260010,92.330002,81180.796875,33.39,105.41,59.387497,PM2.5,15104
39.930000,42.450001,12.020000,2.330000,0.230000,94.110001,-0.400000,6.790000,294.019989,88.889999,83701.898438,33.39,105.57,56.162498,PM2.5,15105
22.110001,23.070000,4.720000,1.160000,0.160000,82.129997,2.810000,4.080000,286.600006,75.680000,65606.203125,33.49,101.98,31.585714,PM2.5,15342
22.190001,23.200001,4.830000,1.260000,0.160000,81.410004,2.640000,4.470000,287.480011,73.089996,66641.890625,33.49,102.14,31.700001,PM2.5,15343
22.190001,23.219999,4.850000,1.410000,0.160000,81.019997,1.860000,4.730000,287.700012,72.059998,67022.296875,33.5,102.31,31.700001,PM2.5,15344
40.230000,42.540001,11.760000,1.910000,0.220000,85.800003,0.070000,7.870000,285.950012,95.669998,70128.187500,33.52,104.27,56.537498,PM2.5,15356
43.709999,46.270000,13.350000,2.120000,0.230000,87.769997,-2.000000,7.680000,288.350006,96.029999,74917.476562,33.52,104.43,60.887497,PM2.5,15357
44.520000,47.160000,14.080000,2.120000,0.240000,91.849998,-3.370000,6.850000,289.559998,96.570000,77180.859375,33.52,104.59,61.900002,PM2.5,15358
46.090000,48.869999,14.370000,2.620000,0.240000,91.139999,-2.560000,6.320000,289.910004,98.440002,78181.523438,33.52,104.76,63.862499,PM2.5,15359
44.590000,47.360001,14.450000,2.530000,0.240000,93.570000,-0.930000,6.340000,291.179993,95.879997,80020.023438,33.52,104.92,61.987499,PM2.5,15360
43.230000,45.910000,14.400000,2.030000,0.240000,98.019997,-0.100000,7.380000,291.799988,92.949997,80336.476562,33.52,105.08,60.287498,PM2.5,15361
42.450001,45.160000,13.660000,2.000000,0.240000,96.099998,0.010000,8.190000,292.410004,87.760002,80590.968750,33.52,105.24,59.312500,PM2.5,15362
39.869999,42.459999,12.540000,2.090000,0.240000,93.720001,-0.640000,7.130000,294.399994,82.349998,83194.656250,33.52,105.41,56.087498,PM2.5,15363
38.439999,40.970001,11.740000,2.620000,0.230000,91.589996,-1.330000,6.360000,295.220001,83.540001,84978.359375,33.52,105.57,54.299999,PM2.5,15364
36.970001,39.509998,11.580000,3.320000,0.240000,89.400002,-1.030000,5.750000,295.739990,84.980003,86267.843750,33.52,105.73,52.462502,PM2.5,15365
20.660000,21.500000,4.030000,0.990000,0.150000,82.660004,3.300000,3.060000,285.369995,77.300003,63912.289062,33.62,101.65,29.514286,PM2.5,15601
21.440001,22.330000,4.380000,1.110000,0.160000,81.620003,2.590000,2.780000,286.359985,75.150002,65143.128906,33.62,101.81,30.628572,PM2.5,15602
22.320000,23.290001,4.680000,1.230000,0.160000,80.459999,1.840000,2.910000,286.570007,76.220001,65767.117188,33.62,101.98,31.885714,PM2.5,15603
