PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
15.480000,30.790001,11.200000,6.460000,0.550000,49.459999,-5.240000,-2.250000,298.559998,84.820000,101147.218750,20.3,110.04,30.790001,PM10,155
12.010000,25.520000,7.880000,6.840000,0.570000,45.750000,-5.460000,-2.570000,298.450012,85.389999,100908.296875,20.3,110.18,25.520000,PM10,156
12.770000,25.910000,7.900000,6.930000,0.560000,47.630001,-5.700000,-2.900000,298.329987,86.180000,100939.070312,20.29,110.32,25.910000,PM10,157
14.830000,29.270000,9.410000,6.010000,0.580000,45.119999,-5.470000,-2.780000,298.170013,85.290001,100709.843750,20.43,110.05,29.270000,PM10,158
12.830000,25.690001,7.250000,5.720000,0.590000,42.590000,-5.450000,-2.870000,297.750000,87.190002,100185.781250,20.43,110.19,25.690001,PM10,159
13.480000,25.690001,7.590000,5.430000,0.570000,45.020000,-5.190000,-2.820000,297.790009,87.180000,100373.421875,20.42,110.33,25.690001,PM10,160
16.049999,29.070000,10.290000,5.230000,0.530000,50.570000,-5.520000,-2.980000,298.359985,85.150002,101053.656250,20.41,110.47,29.070000,PM10,161
20.809999,35.810001,12.210000,6.390000,0.590000,47.660000,-4.940000,-2.910000,298.019989,84.349998,100754.781250,20.57,109.91,35.810001,PM10,162
15.240000,29.160000,9.390000,6.010000,0.610000,41.919998,-5.240000,-2.720000,297.640015,86.750000,100187.140625,20.57,110.05,29.160000,PM10,163
15.100000,28.590000,8.920000,5.550000,0.590000,42.480000,-5.260000,-2.540000,297.320007,88.559998,99903.890625,20.56,110.2,28.590000,PM10,164
15.840000,29.190001,9.760000,5.250000,0.570000,45.290001,-5.070000,-2.570000,297.730011,86.989998,100446.203125,20.55,110.34,29.190001,PM10,165
19.309999,33.770000,12.860000,5.110000,0.520000,51.160000,-5.500000,-2.890000,298.429993,84.010002,101135.148438,20.55,110.48,33.770000,PM10,166
27.709999,41.770000,14.450000,7.390000,0.610000,51.389999,-4.200000,-3.050000,297.980011,81.199997,101171.750000,20.71,109.78,41.770000,PM10,167
17.480000,31.440001,11.250000,7.000000,0.650000,39.299999,-4.290000,-2.920000,297.809998,83.900002,100805.601562,20.71,109.92,31.440001,PM10,168
14.890000,28.219999,9.820000,6.530000,0.640000,38.430000,-4.470000,-2.600000,297.649994,85.639999,100509.406250,20.7,110.06,28.219999,PM10,169
16.820000,30.459999,10.920000,5.910000,0.590000,42.340000,-5.050000,-2.360000,297.790009,86.309998,100575.476562,20.69,110.2,30.459999,PM10,170
22.950001,37.250000,14.060000,8.290000,0.680000,42.500000,-3.740000,-3.150000,297.820007,80.269997,101181.343750,20.85,109.78,37.250000,PM10,171
15.500000,28.990000,11.550000,8.240000,0.710000,32.349998,-3.710000,-2.930000,297.859985,81.639999,101077.976562,20.84,109.92,28.990000,PM10,172
15.670000,29.150000,11.660000,7.880000,0.680000,34.310001,-3.930000,-2.760000,297.989990,81.989998,101110.156250,20.83,110.07,29.150000,PM10,173
19.080000,33.049999,13.670000,6.680000,0.610000,38.919998,-4.390000,-2.890000,298.260010,82.480003,101206.007812,20.83,110.21,33.049999,PM10,174
21.410000,35.730000,14.510000,9.510000,0.730000,38.060001,-3.440000,-3.460000,297.519989,79.750000,101124.140625,20.98,109.79,35.730000,PM10,175
16.180000,28.879999,12.430000,10.110000,0.770000,27.760000,-3.280000,-3.190000,297.660004,80.510002,101090.117188,20.97,109.93,28.879999,PM10,176
16.620001,29.900000,13.170000,10.080000,0.730000,29.440001,-3.880000,-3.020000,297.899994,80.150002,101198.023438,20.97,110.07,29.900000,PM10,177
20.440001,34.369999,14.770000,10.360000,0.780000,36.200001,-3.460000,-3.750000,297.339996,79.459999,101105.773438,21.11,109.79,34.369999,PM10,178
16.900000,28.870001,13.100000,12.040000,0.840000,24.230000,-3.000000,-3.540000,297.380005,79.889999,101013.242188,21.11,109.94,28.870001,PM10,179
17.860001,30.670000,14.340000,13.440000,0.820000,21.900000,-3.060000,-3.410000,297.420013,79.940002,101014.523438,21.1,110.08,30.670000,PM10,180
19.490000,33.560001,16.320000,13.990000,0.770000,22.459999,-3.480000,-3.240000,297.630005,79.470001,101111.789062,21.09,110.22,33.560001,PM10,181
20.740000,35.419998,15.700000,10.140000,0.800000,39.580002,-3.660000,-4.250000,297.399994,79.209999,101197.820312,21.25,109.8,35.419998,PM10,185
17.850000,30.100000,13.850000,12.530000,0.880000,26.059999,-3.020000,-3.670000,297.170013,79.389999,101039.703125,21.24,109.94,30.100000,PM10,186
17.870001,29.799999,13.970000,15.020000,0.900000,19.160000,-2.880000,-3.780000,297.149994,80.430000,100917.156250,21.23,110.09,29.799999,PM10,187
18.650000,31.879999,15.640000,17.660000,0.880000,15.070000,-2.770000,-3.370000,297.230011,79.800003,100960.632812,21.23,110.23,31.879999,PM10,188
18.860001,32.310001,15.300000,14.650000,0.810000,19.950001,-2.860000,-3.180000,297.480011,78.410004,101151.929688,21.22,110.37,32.310001,PM10,189
19.629999,32.919998,14.960000,9.830000,0.710000,28.500000,-3.750000,-3.160000,297.880005,77.400002,101290.460938,21.21,110.52,32.919998,PM10,190
17.680000,30.000000,13.610000,12.710000,0.920000,27.320000,-3.230000,-3.870000,297.000000,78.519997,101110.203125,21.37,109.95,30.000000,PM10,195
17.379999,28.740000,13.290000,15.840000,0.960000,19.219999,-2.840000,-3.920000,297.040009,79.589996,101061.476562,21.37,110.09,28.740000,PM10,196
17.480000,30.080000,14.890000,19.360001,0.960000,13.640000,-2.800000,-3.510000,297.119995,79.480003,101108.609375,21.36,110.24,30.080000,PM10,197
17.049999,30.290001,15.110000,18.840000,0.930000,13.130000,-2.670000,-3.180000,297.290009,78.570000,101188.203125,21.35,110.38,30.290001,PM10,198
16.830000,30.600000,14.640000,14.590000,0.870000,19.110001,-2.820000,-2.950000,297.459991,76.910004,101240.718750,21.35,110.52,30.600000,PM10,199
17.700001,31.969999,15.620000,11.920000,0.770000,24.410000,-3.560000,-3.180000,297.739990,75.489998,101287.539062,21.34,110.67,31.969999,PM10,200
16.700001,29.850000,14.000000,11.570000,0.960000,33.419998,-2.780000,-4.780000,296.779999,76.790001,101168.593750,21.51,109.81,29.850000,PM10,214
16.670000,29.059999,12.730000,12.430000,0.950000,28.639999,-3.020000,-4.280000,296.959991,78.120003,101088.179688,21.51,109.96,29.059999,PM10,215
16.430000,28.100000,12.080000,14.390000,0.970000,22.850000,-2.810000,-4.070000,296.980011,78.860001,101152.476562,21.5,110.1,28.100000,PM10,216
16.389999,28.889999,13.160000,16.700001,0.970000,18.559999,-2.710000,-3.630000,297.049988,78.930000,101177.281250,21.49,110.24,28.889999,PM10,217
16.290001,29.719999,13.940000,17.910000,0.970000,15.640000,-2.710000,-3.300000,297.010010,78.839996,101124.273438,21.49,110.39,29.719999,PM10,218
16.290001,30.480000,14.560000,17.950001,0.960000,13.780000,-2.650000,-2.810000,297.119995,77.730003,101149.351562,21.48,110.53,30.480000,PM10,219
17.330000,32.310001,15.770000,17.500000,0.900000,14.010000,-2.640000,-2.600000,297.239990,76.059998,101217.171875,21.47,110.67,32.310001,PM10,220
17.480000,31.879999,15.940000,14.890000,0.810000,18.690001,-3.160000,-2.780000,297.489990,73.739998,101224.109375,21.47,110.82,31.879999,PM10,221
17.510000,32.020000,15.890000,11.360000,0.730000,25.410000,-4.570000,-3.250000,297.869995,72.129997,101223.929688,21.46,110.96,32.020000,PM10,222
15.130000,26.980000,11.720000,11.750000,0.980000,30.139999,-2.840000,-4.620000,296.839996,77.279999,101090.976562,21.64,109.96,26.980000,PM10,251
15.690000,28.020000,11.150000,12.970000,0.970000,26.360001,-2.640000,-4.290000,296.910004,78.410004,101072.976562,21.63,110.11,28.020000,PM10,252
15.510000,28.540001,11.740000,14.150000,0.960000,23.580000,-2.470000,-3.840000,296.950012,78.800003,100999.390625,21.63,110.25,28.540001,PM10,253
15.220000,28.910000,12.560000,15.620000,0.960000,20.580000,-2.410000,-3.420000,296.959991,78.800003,100912.570312,21.62,110.39,28.910000,PM10,254
14.780000,29.680000,14.130000,18.590000,0.990000,14.710000,-2.290000,-2.730000,297.089996,77.970001,101018.000000,21.61,110.54,29.680000,PM10,255
16.420000,32.480000,16.190001,21.490000,0.960000,10.410000,-2.370000,-2.210000,297.269989,76.650002,101174.726562,21.61,110.68,32.480000,PM10,256
17.360001,32.230000,16.389999,19.920000,0.880000,12.490000,-2.840000,-2.220000,297.480011,74.050003,101216.140625,21.6,110.83,32.230000,PM10,257
15.890000,29.549999,14.620000,14.700000,0.820000,19.690001,-3.790000,-2.710000,297.679993,71.209999,101215.523438,21.59,110.97,29.549999,PM10,258
16.240000,29.299999,13.220000,11.390000,0.790000,25.129999,-4.820000,-3.580000,297.380005,70.919998,100770.773438,21.58,111.11,29.299999,PM10,259
18.700001,31.620001,14.000000,11.410000,0.760000,27.209999,-5.170000,-4.660000,297.140015,71.339996,100620.617188,21.58,111.26,31.620001,PM10,260
20.870001,33.740002,15.370000,12.940000,0.760000,28.120001,-4.880000,-5.610000,297.350006,70.510002,101335.132812,21.57,111.4,33.740002,PM10,261
24.680000,38.400002,18.410000,14.910000,0.710000,31.250000,-4.560000,-5.990000,297.230011,71.800003,101299.890625,21.56,111.54,38.400002,PM10,262
15.040000,27.440001,11.500000,11.130000,1.000000,32.820000,-2.580000,-5.040000,296.329987,77.440002,100569.296875,21.77,109.97,27.440001,PM10,295
15.150000,28.020000,10.590000,12.020000,0.970000,29.459999,-2.430000,-4.400000,296.649994,78.269997,100818.906250,21.77,110.11,28.020000,PM10,296
15.190000,28.700001,10.990000,12.930000,0.950000,26.910000,-2.210000,-3.970000,296.839996,78.599998,100878.062500,21.76,110.26,28.700001,PM10,297
14.580000,28.600000,11.610000,14.140000,0.940000,24.700001,-2.080000,-3.470000,296.980011,78.389999,100829.953125,21.75,110.4,28.600000,PM10,298
13.710000,28.549999,12.770000,15.950000,0.950000,20.920000,-2.010000,-2.880000,297.209991,77.400002,100976.703125,21.75,110.55,28.549999,PM10,299
14.970000,30.770000,14.630000,18.540001,0.940000,15.430000,-2.000000,-2.120000,297.339996,76.089996,101157.687500,21.74,110.69,30.770000,PM10,300
16.950001,31.600000,15.350000,17.690001,0.860000,16.940001,-2.430000,-1.820000,297.420013,74.379997,101128.453125,21.73,110.83,31.600000,PM10,301
15.730000,28.629999,13.300000,12.780000,0.800000,23.580000,-3.770000,-2.680000,297.700012,71.629997,101163.632812,21.73,110.98,28.629999,PM10,302
16.299999,28.430000,12.380000,10.280000,0.780000,27.809999,-5.270000,-3.890000,297.799988,69.790001,101117.703125,21.72,111.12,28.430000,PM10,303
18.799999,30.709999,12.760000,10.560000,0.770000,28.520000,-5.810000,-5.410000,296.839996,72.379997,100062.117188,21.71,111.26,30.709999,PM10,304
20.650000,32.570000,13.810000,12.100000,0.790000,27.750000,-5.250000,-6.450000,296.100006,74.849998,99620.687500,21.7,111.41,32.570000,PM10,305
22.190001,34.209999,15.390000,14.590000,0.790000,27.590000,-3.930000,-6.280000,296.299988,74.019997,100400.546875,21.69,111.55,34.209999,PM10,306
24.920000,36.529999,17.389999,16.270000,0.760000,30.620001,-3.140000,-5.130000,296.470001,73.169998,100601.273438,21.69,111.7,36.529999,PM10,307
37.630001,54.810001,31.209999,31.290001,0.650000,36.770000,-4.390000,-6.220000,297.570007,76.750000,101248.039062,21.63,112.56,53.287502,PM2.5,308
14.850000,27.889999,10.260000,10.880000,0.970000,32.410000,-2.310000,-4.380000,296.450012,76.870003,100570.500000,21.9,110.12,27.889999,PM10,344
15.570000,28.820000,10.280000,10.880000,0.910000,30.990000,-2.230000,-4.060000,296.769989,77.440002,100841.296875,21.89,110.27,28.820000,PM10,345
15.300000,28.760000,10.560000,11.310000,0.900000,29.980000,-2.070000,-3.520000,297.000000,77.519997,100847.007812,21.89,110.41,28.760000,PM10,346
14.560000,28.420000,11.160000,11.980000,0.880000,28.430000,-1.960000,-2.990000,297.309998,76.589996,101013.382812,21.88,110.55,28.420000,PM10,347
14.110000,28.340000,12.110000,13.000000,0.880000,24.910000,-1.860000,-2.210000,297.429993,75.809998,101118.789062,21.87,110.7,28.340000,PM10,348
15.280000,28.690001,12.810000,12.570000,0.840000,24.350000,-2.330000,-1.570000,297.380005,74.559998,101047.242188,21.87,110.84,28.690001,PM10,349
16.950001,29.040001,12.360000,10.200000,0.770000,28.520000,-4.260000,-2.710000,297.089996,73.250000,100299.968750,21.86,110.99,29.040001,PM10,350
