PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
29.469999,38.049999,17.450001,3.690000,0.570000,98.190002,-2.190000,-0.770000,292.890015,43.599998,89756.242188,24.7,104.63,42.099998,PM2.5,2423
32.020000,41.029999,20.219999,4.320000,0.550000,96.059998,-2.000000,-1.300000,292.359985,44.130001,89325.093750,24.7,104.78,45.742859,PM2.5,2424
22.920000,25.660000,10.640000,2.470000,0.230000,82.800003,-1.740000,-2.600000,293.329987,44.750000,93169.476562,24.7,105.96,32.742859,PM2.5,2432
32.360001,43.869999,21.230000,5.420000,0.720000,99.089996,-2.220000,-1.130000,291.100006,43.610001,85346.382812,24.84,104.63,46.228573,PM2.5,2568
35.000000,46.900002,25.100000,6.040000,0.720000,96.650002,-2.010000,-1.620000,291.059998,43.889999,85847.796875,24.84,104.78,50.000000,PM2.5,2569
37.910000,49.090000,30.049999,7.370000,0.670000,94.059998,-1.120000,-1.430000,292.510010,42.080002,89029.882812,24.84,104.93,53.637501,PM2.5,2570
28.090000,31.170000,15.890000,3.760000,0.280000,89.750000,-1.100000,-0.460000,293.600006,40.669998,91890.476562,24.84,105.52,40.128571,PM2.5,2574
25.670000,27.879999,13.890000,2.930000,0.250000,88.360001,-1.650000,-1.980000,293.679993,40.299999,91617.617188,24.84,105.67,36.671429,PM2.5,2575
24.889999,26.920000,13.230000,2.910000,0.250000,86.940002,-1.650000,-2.830000,293.440002,41.560001,91643.023438,24.84,105.82,35.557140,PM2.5,2576
24.350000,26.230000,11.570000,2.730000,0.240000,84.269997,-1.320000,-2.470000,293.190002,43.700001,92425.460938,24.83,105.97,34.785713,PM2.5,2577
24.129999,25.920000,10.080000,2.540000,0.240000,82.129997,-1.670000,-1.190000,293.480011,44.830002,93432.273438,24.83,106.11,34.471428,PM2.5,2578
39.580002,55.840000,36.009998,9.720000,0.980000,95.900002,-2.020000,-1.460000,289.670013,43.259998,83415.523438,24.97,104.78,55.725002,PM2.5,2714
42.840000,57.650002,39.950001,10.830000,0.880000,91.419998,-0.650000,-1.690000,291.809998,41.259998,87123.398438,24.97,104.93,59.799999,PM2.5,2715
40.990002,52.540001,33.439999,9.120000,0.650000,88.529999,-0.500000,-2.550000,293.239990,39.830002,90008.562500,24.97,105.07,57.487503,PM2.5,2716
32.779999,37.930000,20.660000,5.600000,0.350000,89.419998,-2.290000,-1.460000,293.890015,38.570000,90944.976562,24.97,105.37,46.828571,PM2.5,2718
29.290001,32.490002,17.040001,4.130000,0.290000,89.699997,-2.630000,-1.650000,292.859985,39.090000,88564.296875,24.97,105.52,41.842857,PM2.5,2719
27.770000,30.190001,15.250000,3.430000,0.270000,89.430000,-1.950000,-2.250000,292.470001,41.049999,88811.671875,24.97,105.67,39.671429,PM2.5,2720
27.379999,29.660000,14.080000,3.500000,0.270000,88.080002,-0.760000,-2.240000,293.040009,42.009998,91177.812500,24.97,105.82,39.114285,PM2.5,2721
26.190001,28.240000,12.320000,3.270000,0.260000,86.019997,-0.290000,-1.430000,293.420013,42.730000,92871.867188,24.97,105.97,37.414288,PM2.5,2722
25.840000,27.809999,11.050000,3.080000,0.260000,83.139999,-1.070000,-0.640000,293.769989,43.889999,94286.343750,24.97,106.12,36.914288,PM2.5,2723
43.230000,64.919998,46.520000,13.870000,1.280000,93.980003,-1.030000,-1.100000,290.339996,41.349998,84482.656250,25.11,104.78,60.287498,PM2.5,2859
46.830002,65.279999,48.320000,14.550000,1.070000,87.739998,-0.410000,-2.020000,291.529999,41.000000,87080.609375,25.11,104.93,64.787506,PM2.5,2860
43.990002,57.439999,35.320000,10.680000,0.720000,85.940002,-0.890000,-3.240000,292.079987,40.080002,87797.796875,25.11,105.07,61.237503,PM2.5,2861
38.750000,47.709999,25.280001,7.960000,0.470000,87.379997,-1.730000,-2.920000,292.799988,38.540001,88447.640625,25.11,105.22,54.687500,PM2.5,2862
36.650002,42.639999,21.320000,6.680000,0.380000,88.220001,-2.500000,-2.720000,292.260010,39.869999,88139.492188,25.11,105.37,52.062500,PM2.5,2863
34.840000,38.910000,18.670000,5.580000,0.330000,90.150002,-2.310000,-1.710000,291.359985,40.570000,86722.296875,25.11,105.52,49.771427,PM2.5,2864
32.919998,35.869999,16.680000,4.860000,0.300000,90.260002,-0.860000,-1.410000,292.019989,41.700001,88518.640625,25.11,105.67,47.028568,PM2.5,2865
30.340000,32.860001,14.320000,4.510000,0.290000,88.839996,0.290000,-1.550000,293.529999,40.750000,91955.460938,25.1,105.82,43.342857,PM2.5,2866
28.049999,30.240000,12.250000,4.100000,0.280000,85.610001,-0.500000,-1.270000,294.260010,40.810001,93623.453125,25.1,105.97,40.071426,PM2.5,2867
27.719999,29.900000,11.280000,4.010000,0.270000,83.269997,-2.190000,-0.890000,294.640015,40.799999,93504.117188,25.1,106.12,39.599998,PM2.5,2868
27.420000,29.580000,10.380000,3.580000,0.270000,82.660004,-2.810000,-1.830000,294.040009,42.410000,92758.132812,25.1,106.27,39.171429,PM2.5,2869
28.070000,30.280001,10.190000,3.700000,0.270000,82.620003,-2.020000,-1.800000,293.799988,43.310001,93406.539062,25.1,106.42,40.099998,PM2.5,2870
28.690001,31.020000,10.230000,4.200000,0.280000,81.070000,-0.980000,-1.150000,294.079987,43.459999,94908.218750,25.1,106.56,40.985714,PM2.5,2871
46.939999,65.550003,45.060001,14.870000,1.070000,86.500000,-0.820000,-2.810000,291.440002,41.400002,87182.390625,25.24,104.93,64.924995,PM2.5,3005
45.799999,60.099998,34.279999,11.710000,0.760000,85.269997,-1.450000,-3.150000,291.160004,40.490002,86244.000000,25.24,105.07,63.500000,PM2.5,3006
43.349998,54.830002,26.860001,10.230000,0.540000,86.099998,-1.400000,-2.610000,291.209991,40.459999,86242.148438,25.24,105.22,60.437500,PM2.5,3007
41.680000,50.029999,22.980000,9.130000,0.440000,86.400002,-1.380000,-2.360000,291.160004,42.180000,87035.210938,25.24,105.37,58.349998,PM2.5,3008
40.400002,46.820000,20.719999,8.270000,0.380000,87.410004,-0.960000,-1.450000,291.320007,42.849998,87607.710938,25.24,105.52,56.750000,PM2.5,3009
38.680000,43.869999,18.590000,7.410000,0.350000,88.139999,0.100000,-1.090000,292.700012,41.520000,90037.000000,25.24,105.67,54.599998,PM2.5,3010
33.759998,37.889999,14.870000,6.020000,0.310000,86.599998,0.250000,-1.540000,293.609985,41.189999,92563.046875,25.24,105.82,48.228569,PM2.5,3011
30.150000,33.700001,12.760000,5.410000,0.290000,84.830002,-1.330000,-1.840000,294.070007,40.189999,92121.218750,25.24,105.97,43.071426,PM2.5,3012
29.719999,33.189999,12.050000,5.380000,0.290000,83.730003,-2.690000,-1.810000,293.660004,40.000000,90188.976562,25.24,106.12,42.457142,PM2.5,3013
29.860001,33.270000,10.940000,4.760000,0.280000,83.559998,-2.590000,-2.330000,292.670013,42.900002,89311.640625,25.24,106.27,42.657143,PM2.5,3014
30.410000,33.990002,10.590000,4.810000,0.290000,83.290001,-1.500000,-2.200000,293.179993,43.279999,91146.617188,25.23,106.42,43.442856,PM2.5,3015
31.080000,34.980000,10.430000,5.520000,0.300000,80.800003,-0.750000,-2.330000,294.359985,41.959999,94476.546875,25.23,106.57,44.400002,PM2.5,3016
31.660000,35.439999,10.180000,5.680000,0.300000,78.989998,-1.110000,-1.140000,293.899994,44.459999,95275.882812,25.23,106.72,45.228573,PM2.5,3017
31.480000,35.160000,9.640000,5.570000,0.290000,77.400002,-1.500000,-1.050000,293.329987,48.790001,94132.726562,25.23,106.87,44.971428,PM2.5,3018
30.639999,33.750000,10.220000,3.760000,0.270000,76.730003,-1.740000,-4.630000,292.910004,52.759998,92392.742188,25.21,107.76,43.771427,PM2.5,3024
32.250000,34.919998,10.430000,3.610000,0.280000,75.959999,-0.840000,-4.970000,293.309998,51.849998,92816.273438,25.21,107.91,46.071430,PM2.5,3025
41.650002,68.220001,48.389999,19.510000,1.230000,93.050003,-0.660000,-1.310000,289.929993,41.869999,83495.570312,25.38,104.63,59.110001,PM10,3148
42.259998,65.629997,43.910000,15.350000,1.200000,90.019997,-0.280000,-2.340000,290.850006,41.169998,85435.679688,25.38,104.78,59.074997,PM2.5,3149
45.779999,63.160000,38.900002,13.770000,0.990000,86.209999,-0.810000,-3.370000,290.790009,41.580002,85751.648438,25.38,104.93,63.474998,PM2.5,3150
46.830002,61.759998,34.230000,13.080000,0.780000,84.510002,-1.380000,-2.940000,290.459991,40.990002,85076.812500,25.38,105.07,64.787506,PM2.5,3151
45.610001,58.799999,27.850000,12.400000,0.570000,84.519997,-1.050000,-2.400000,290.880005,40.520000,85822.906250,25.38,105.22,63.262501,PM2.5,3152
44.959999,55.480000,24.820000,11.760000,0.480000,84.610001,-0.860000,-2.240000,291.160004,41.180000,86940.453125,25.38,105.37,62.449997,PM2.5,3153
44.410000,53.070000,23.090000,11.640000,0.420000,84.760002,-0.670000,-1.670000,291.480011,41.240002,87355.320312,25.38,105.52,61.762501,PM2.5,3154
42.669998,50.000000,20.820000,10.700000,0.380000,85.290001,-0.080000,-1.390000,293.029999,39.799999,90090.906250,25.38,105.67,59.587498,PM2.5,3155
36.180000,41.720001,15.940000,7.750000,0.330000,85.059998,-0.780000,-1.540000,294.010010,39.619999,92793.273438,25.37,105.82,51.474998,PM2.5,3156
32.939999,37.759998,13.380000,6.890000,0.310000,84.220001,-2.510000,-1.310000,293.540009,40.560001,91191.843750,25.37,105.97,47.057140,PM2.5,3157
32.259998,36.869999,12.680000,6.800000,0.300000,84.830002,-2.880000,-1.340000,292.200012,41.340000,88404.960938,25.37,106.12,46.085712,PM2.5,3158
32.990002,37.580002,11.930000,5.860000,0.300000,84.760002,-1.670000,-1.760000,291.570007,43.840000,88166.820312,25.37,106.27,47.128574,PM2.5,3159
33.330002,38.169998,11.620000,6.030000,0.310000,84.370003,-0.370000,-1.930000,292.690002,42.939999,90363.039062,25.37,106.42,47.614288,PM2.5,3160
34.080002,39.130001,11.200000,6.930000,0.320000,80.730003,-0.230000,-2.320000,293.839996,42.240002,93304.679688,25.37,106.57,48.685719,PM2.5,3161
34.230000,39.230000,11.110000,7.030000,0.320000,79.180000,-1.300000,-1.540000,294.470001,42.869999,95149.156250,25.37,106.72,48.899998,PM2.5,3162
34.020000,38.930000,10.600000,6.860000,0.310000,78.110001,-2.210000,-1.400000,294.179993,46.090000,95211.843750,25.36,106.87,48.600002,PM2.5,3163
31.790001,35.840000,9.540000,5.760000,0.280000,77.129997,-3.120000,-3.260000,292.279999,53.320000,90458.226562,25.35,107.47,45.414288,PM2.5,3167
30.950001,34.950001,9.730000,4.820000,0.280000,77.540001,-2.200000,-3.840000,292.320007,53.820000,90958.492188,25.35,107.61,44.214287,PM2.5,3168
32.439999,36.160000,10.800000,4.740000,0.280000,77.230003,-1.510000,-4.430000,292.570007,52.330002,91990.273438,25.35,107.76,46.342854,PM2.5,3169
34.020000,37.200001,10.890000,4.350000,0.290000,76.139999,-0.760000,-4.790000,292.630005,52.139999,92587.726562,25.34,107.91,48.600002,PM2.5,3170
34.950001,37.349998,10.310000,3.680000,0.290000,75.660004,-0.510000,-5.470000,294.000000,48.939999,94143.960938,25.34,108.06,49.928574,PM2.5,3171
44.419998,78.570000,52.840000,22.240000,1.510000,88.919998,-1.000000,-1.320000,288.720001,44.669998,81973.500000,25.51,104.48,64.285004,PM10,3291
45.150002,74.040001,50.639999,20.299999,1.380000,89.639999,-0.590000,-1.730000,289.119995,44.070000,82818.710938,25.51,104.63,62.687500,PM2.5,3292
44.570000,69.139999,45.830002,16.110001,1.280000,87.410004,-0.470000,-2.710000,289.670013,43.099998,83823.820312,25.51,104.78,61.962502,PM2.5,3293
47.849998,65.669998,40.160000,14.560000,1.030000,84.730003,-0.820000,-2.910000,289.970001,42.290001,84414.273438,25.51,104.93,66.062500,PM2.5,3294
48.340000,63.840000,35.180000,13.880000,0.800000,83.260002,-0.990000,-2.320000,290.089996,41.419998,84664.953125,25.51,105.07,66.675003,PM2.5,3295
47.000000,61.049999,28.510000,13.360000,0.590000,83.120003,-0.720000,-1.820000,290.850006,40.430000,85907.789062,25.51,105.22,65.000000,PM2.5,3296
46.529999,58.040001,25.620001,12.880000,0.490000,83.529999,-0.640000,-1.880000,291.160004,40.700001,86831.476562,25.51,105.37,64.412498,PM2.5,3297
46.970001,57.049999,24.610001,13.700000,0.450000,83.139999,-0.330000,-1.460000,291.600006,40.410000,87451.351562,25.51,105.52,64.962502,PM2.5,3298
45.790001,54.750000,22.700001,13.460000,0.410000,83.000000,0.140000,-1.630000,293.140015,38.910000,90194.953125,25.51,105.67,63.487503,PM2.5,3299
39.470001,46.500000,18.280001,10.550000,0.360000,83.699997,-0.790000,-1.680000,293.910004,39.220001,92544.210938,25.51,105.82,55.587502,PM2.5,3300
36.910000,43.650002,15.340000,9.530000,0.340000,83.489998,-2.720000,-0.850000,293.450012,41.150002,91763.609375,25.51,105.97,52.387501,PM2.5,3301
36.790001,43.560001,14.550000,9.410000,0.340000,83.790001,-3.010000,-0.880000,292.320007,42.400002,89588.937500,25.51,106.12,52.237503,PM2.5,3302
37.320000,44.090000,13.580000,8.530000,0.340000,83.629997,-1.550000,-1.450000,291.660004,43.939999,88960.351562,25.51,106.27,52.900002,PM2.5,3303
37.580002,44.230000,12.780000,8.270000,0.340000,82.790001,-0.250000,-2.240000,292.420013,43.320000,90756.226562,25.5,106.42,53.225002,PM2.5,3304
37.000000,43.480000,12.280000,8.390000,0.340000,81.000000,-0.830000,-2.590000,293.380005,42.119999,92370.773438,25.5,106.57,52.500000,PM2.5,3305
36.630001,42.939999,11.390000,8.080000,0.340000,79.570000,-2.300000,-2.090000,294.239990,41.900002,93220.156250,25.5,106.72,52.037502,PM2.5,3306
35.270000,41.259998,10.620000,7.560000,0.330000,78.959999,-2.870000,-2.730000,294.369995,42.560001,93661.960938,25.5,106.87,50.337502,PM2.5,3307
33.750000,38.810001,9.760000,7.290000,0.310000,78.790001,-3.750000,-2.720000,292.660004,49.630001,91233.101562,25.49,107.32,48.214287,PM2.5,3310
33.529999,38.220001,10.020000,6.530000,0.300000,78.480003,-3.040000,-2.840000,292.119995,51.730000,90333.453125,25.49,107.47,47.899998,PM2.5,3311
33.270000,37.930000,10.290000,5.610000,0.290000,79.019997,-1.970000,-3.280000,291.950012,53.310001,90616.007812,25.48,107.62,47.528572,PM2.5,3312
34.029999,38.340000,10.940000,5.160000,0.290000,78.599998,-1.080000,-3.810000,292.399994,51.270000,91960.820312,25.48,107.77,48.614285,PM2.5,3313
34.990002,38.610001,10.870000,4.560000,0.290000,77.000000,-1.040000,-4.270000,292.519989,51.119999,92962.640625,25.48,107.92,49.985718,PM2.5,3314
35.639999,38.230000,10.440000,3.610000,0.290000,76.660004,-1.460000,-5.280000,293.049988,49.700001,93024.617188,25.47,108.07,50.799999,PM2.5,3315
33.840000,35.939999,10.440000,2.960000,0.280000,76.779999,-2.580000,-5.620000,293.910004,48.980000,93133.140625,25.47,108.22,48.342857,PM2.5,3316
37.790001,40.040001,12.650000,3.260000,0.290000,77.129997,-3.310000,-4.930000,292.500000,56.209999,91627.093750,25.46,108.52,53.487503,PM2.5,3318
50.049999,85.870003,63.480000,29.510000,1.790000,80.269997,-1.740000,-2.030000,287.720001,43.570000,79754.843750,25.65,104.33,68.812500,PM2.5,3436
47.480000,83.339996,60.580002,26.219999,1.750000,83.370003,-1.180000,-1.730000,288.739990,43.220001,81418.273438,25.65,104.48,66.669998,PM10,3437
47.070000,75.959999,51.610001,20.730000,1.500000,86.339996,-1.010000,-1.640000,289.179993,43.430000,82637.906250,25.65,104.63,65.087502,PM2.5,3438
45.790001,69.879997,46.340000,16.379999,1.330000,84.919998,-0.820000,-2.180000,289.029999,44.459999,83112.046875,25.65,104.78,63.487503,PM2.5,3439
49.470001,67.279999,41.410000,15.470000,1.070000,82.660004,-0.330000,-2.210000,289.609985,43.060001,83993.390625,25.65,104.93,68.087502,PM2.5,3440
49.740002,65.750000,36.570000,15.220000,0.830000,80.989998,-0.040000,-1.600000,290.910004,40.619999,86017.179688,25.65,105.07,68.425003,PM2.5,3441
48.209999,62.930000,29.290001,14.710000,0.600000,81.080002,-0.310000,-1.020000,291.660004,39.790001,87539.851562,25.65,105.22,66.512497,PM2.5,3442
48.189999,60.720001,26.660000,14.430000,0.510000,81.669998,-0.510000,-1.030000,291.399994,40.549999,87428.906250,25.65,105.37,66.487495,PM2.5,3443
49.299999,60.910000,26.150000,16.100000,0.470000,81.209999,-0.030000,-1.180000,291.929993,39.889999,88057.210938,25.65,105.52,67.875000,PM2.5,3444
47.669998,57.810001,24.080000,16.129999,0.430000,80.660004,0.050000,-1.970000,293.410004,38.610001,90954.539062,25.65,105.67,65.837494,PM2.5,3445
43.389999,52.200001,20.879999,14.100000,0.400000,81.099998,-1.120000,-1.770000,293.970001,39.060001,92576.273438,25.64,105.82,60.487499,PM2.5,3446
40.860001,49.840000,18.040001,12.820000,0.380000,82.620003,-2.710000,-1.740000,293.679993,39.340000,91555.476562,25.64,105.97,57.325001,PM2.5,3447
41.689999,50.840000,16.650000,12.500000,0.380000,82.269997,-3.060000,-2.120000,292.609985,40.230000,89835.523438,25.64,106.12,58.362499,PM2.5,3448
41.520000,50.439999,15.540000,11.610000,0.380000,82.750000,-2.010000,-2.220000,291.980011,41.380001,89164.726562,25.64,106.27,58.150002,PM2.5,3449
41.639999,50.279999,14.340000,10.930000,0.380000,81.639999,-1.460000,-2.840000,292.279999,42.389999,90432.523438,25.64,106.42,58.299999,PM2.5,3450
40.910000,49.240002,13.460000,10.360000,0.370000,80.580002,-2.160000,-3.350000,292.929993,41.799999,91206.851562,25.64,106.57,57.387501,PM2.5,3451
39.009998,46.700001,12.140000,9.410000,0.360000,80.620003,-2.860000,-2.810000,293.440002,40.759998,90882.820312,25.64,106.72,55.012497,PM2.5,3452
37.599998,44.750000,11.120000,8.580000,0.340000,80.320000,-2.950000,-3.370000,293.190002,41.590000,90813.382812,25.63,106.87,53.250000,PM2.5,3453
