PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
18.770000,29.459999,2.330000,5.430000,0.470000,80.839996,-6.720000,0.230000,296.859985,81.879997,100040.960938,18.34,109.25,29.459999,PM10,0
17.840000,30.389999,2.510000,8.170000,0.560000,82.320000,-6.370000,-1.010000,296.790009,83.389999,100246.257812,18.34,109.38,30.389999,PM10,1
18.770000,32.340000,2.610000,8.390000,0.580000,85.449997,-5.800000,-2.150000,296.390015,86.580002,100134.601562,18.33,109.52,32.340000,PM10,2
20.870001,34.680000,2.280000,5.750000,0.550000,91.610001,-5.520000,-2.190000,296.100006,90.959999,100273.867188,18.33,109.66,34.680000,PM10,3
22.709999,29.809999,2.040000,2.960000,0.310000,74.570000,-4.730000,1.520000,297.809998,77.940002,101266.023438,18.49,108.83,32.442856,PM2.5,4
21.440001,29.180000,2.220000,3.740000,0.360000,76.720001,-4.290000,0.560000,297.350006,79.529999,100372.367188,18.49,108.97,30.628572,PM2.5,5
20.160000,28.910000,2.360000,4.990000,0.410000,77.790001,-4.990000,0.940000,296.720001,80.500000,99121.296875,18.48,109.11,28.910000,PM10,6
18.980000,28.930000,2.480000,6.530000,0.460000,77.820000,-6.550000,0.920000,296.329987,81.019997,98439.023438,18.48,109.25,28.930000,PM10,7
19.139999,30.020000,2.620000,7.730000,0.500000,79.239998,-6.950000,-0.590000,295.290009,86.080002,97578.039062,18.47,109.39,30.020000,PM10,8
21.360001,33.400002,2.850000,8.700000,0.540000,80.320000,-5.510000,-1.680000,294.489990,92.269997,97479.179688,18.46,109.53,33.400002,PM10,9
22.270000,34.770000,2.580000,6.690000,0.540000,83.489998,-4.170000,-1.400000,295.779999,89.309998,99777.109375,18.46,109.67,34.770000,PM10,10
22.430000,34.150002,2.110000,3.520000,0.480000,90.239998,-4.500000,-1.660000,296.690002,87.199997,101021.679688,18.45,109.81,34.150002,PM10,11
24.120001,34.750000,1.990000,2.160000,0.390000,95.080002,-5.640000,-2.290000,296.739990,89.339996,101221.609375,18.45,109.95,34.750000,PM10,12
21.830000,28.030001,1.880000,3.000000,0.310000,70.750000,-4.780000,0.860000,296.290009,80.660004,98114.671875,18.62,108.84,31.185715,PM2.5,13
22.070000,29.389999,1.990000,3.960000,0.350000,71.669998,-3.720000,-0.050000,295.839996,83.010002,97877.679688,18.62,108.98,31.528570,PM2.5,14
21.620001,29.440001,2.160000,4.540000,0.380000,75.809998,-3.350000,0.180000,296.809998,78.949997,99146.210938,18.61,109.12,30.885715,PM2.5,15
21.240000,29.530001,2.170000,4.740000,0.400000,76.989998,-5.550000,0.870000,296.390015,78.599998,98023.468750,18.61,109.26,30.342857,PM2.5,16
21.830000,30.480000,2.220000,4.610000,0.410000,80.610001,-6.770000,0.750000,294.029999,88.070000,95253.593750,18.6,109.4,31.185715,PM2.5,17
24.719999,35.029999,2.280000,5.970000,0.460000,78.620003,-5.380000,-0.070000,293.320007,95.199997,95632.203125,18.6,109.54,35.314285,PM2.5,18
24.309999,35.480000,2.330000,5.900000,0.480000,80.970001,-4.310000,-0.950000,295.320007,88.570000,98581.460938,18.59,109.67,35.480000,PM10,19
24.430000,36.070000,2.320000,4.860000,0.460000,85.000000,-4.370000,-1.520000,296.049988,86.870003,99658.570312,18.59,109.81,36.070000,PM10,20
25.219999,36.570000,2.340000,3.470000,0.410000,90.480003,-4.520000,-1.850000,295.890015,89.760002,99889.906250,18.58,109.95,36.570000,PM10,21
26.030001,36.889999,2.160000,2.170000,0.350000,95.000000,-5.260000,-2.020000,296.100006,91.779999,100520.507812,18.57,110.09,37.185715,PM2.5,22
25.820000,31.160000,2.480000,2.850000,0.270000,74.610001,-1.640000,0.780000,297.149994,79.070000,99819.367188,18.76,108.7,36.885715,PM2.5,23
23.820000,29.209999,2.110000,2.810000,0.280000,70.599998,-3.740000,1.380000,295.059998,84.320000,96194.890625,18.75,108.84,34.028572,PM2.5,24
24.010000,30.040001,2.080000,3.030000,0.290000,71.260002,-3.900000,1.070000,294.799988,85.660004,96168.671875,18.75,108.98,34.299999,PM2.5,25
23.770000,30.410000,2.200000,3.150000,0.310000,74.400002,-3.620000,0.100000,295.989990,80.940002,97768.273438,18.75,109.12,33.957142,PM2.5,26
24.150000,31.510000,2.250000,3.140000,0.340000,75.459999,-4.550000,-0.040000,296.019989,80.330002,97746.343750,18.74,109.26,34.500000,PM2.5,27
24.440001,32.340000,2.330000,3.070000,0.350000,78.820000,-5.980000,1.410000,294.779999,84.709999,96032.296875,18.73,109.4,34.914288,PM2.5,28
26.080000,34.619999,2.430000,3.390000,0.370000,80.610001,-5.770000,1.130000,293.359985,91.589996,94774.250000,18.73,109.54,37.257141,PM2.5,29
27.370001,36.340000,2.540000,3.580000,0.380000,83.440002,-4.690000,-0.420000,293.179993,94.059998,94964.976562,18.72,109.68,39.100002,PM2.5,30
28.670000,38.529999,2.560000,3.450000,0.390000,83.820000,-4.270000,-1.010000,293.540009,94.720001,95938.328125,18.72,109.82,40.957142,PM2.5,31
28.559999,39.110001,2.530000,3.080000,0.380000,83.839996,-3.950000,-1.210000,294.359985,94.699997,97834.507812,18.71,109.96,40.799999,PM2.5,32
27.330000,37.880001,2.480000,2.360000,0.350000,88.820000,-4.120000,-1.290000,295.200012,93.769997,99286.351562,18.7,110.1,39.042858,PM2.5,33
26.190001,36.630001,2.170000,1.540000,0.310000,94.919998,-5.050000,-1.700000,295.859985,93.120003,100284.406250,18.7,110.24,37.414288,PM2.5,34
25.680000,35.790001,1.890000,0.920000,0.280000,104.419998,-5.940000,-2.090000,296.489990,93.019997,101252.156250,18.69,110.38,36.685715,PM2.5,35
27.740000,33.680000,3.280000,3.470000,0.290000,78.339996,-0.000000,-0.370000,297.290009,78.970001,100451.062500,18.89,108.71,39.628571,PM2.5,36
24.860001,30.510000,2.560000,3.050000,0.290000,74.500000,-1.510000,1.070000,296.950012,77.580002,98941.937500,18.89,108.85,35.514286,PM2.5,37
24.520000,30.240000,2.330000,3.080000,0.290000,72.239998,-3.440000,1.620000,295.980011,79.629997,97207.976562,18.88,108.99,35.028572,PM2.5,38
25.670000,31.910000,2.170000,3.150000,0.300000,70.940002,-4.120000,1.200000,294.079987,86.059998,94644.867188,18.88,109.13,36.671429,PM2.5,39
26.850000,33.820000,2.320000,3.220000,0.320000,74.099998,-3.590000,0.160000,293.980011,87.870003,95179.906250,18.87,109.27,38.357143,PM2.5,40
26.320000,33.849998,2.460000,3.040000,0.340000,77.639999,-4.260000,0.730000,294.799988,84.089996,96026.937500,18.87,109.41,37.599998,PM2.5,41
27.559999,35.560001,2.560000,2.920000,0.340000,80.220001,-5.260000,1.300000,293.170013,90.019997,93845.046875,18.86,109.55,39.371429,PM2.5,42
30.610001,39.419998,2.630000,3.380000,0.360000,78.889999,-4.640000,0.830000,292.119995,96.199997,93171.296875,18.86,109.69,43.728573,PM2.5,43
30.950001,40.730000,2.630000,3.430000,0.370000,77.139999,-3.930000,0.430000,293.010010,96.309998,95193.937500,18.85,109.83,44.214287,PM2.5,44
