PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
170.970001,317.239990,69.029999,73.410004,2.250000,67.809998,-0.190000,0.730000,289.250000,40.770000,100520.382812,36.16,114.69,220.970001,PM2.5,20977
168.869995,318.350006,65.629997,70.910004,2.300000,69.139999,0.040000,2.280000,289.109985,43.130001,100602.406250,36.15,114.85,218.869995,PM2.5,20978
161.410004,302.730011,57.990002,65.129997,2.090000,70.660004,-0.130000,3.210000,289.089996,44.639999,100678.593750,36.13,115.02,211.410004,PM2.5,20979
159.639999,279.630005,44.549999,55.070000,1.840000,77.529999,0.020000,3.520000,288.910004,46.689999,100765.953125,36.11,115.36,209.639999,PM2.5,20981
138.699997,229.889999,72.690002,68.870003,2.240000,67.449997,0.750000,-4.510000,289.829987,29.730000,97497.773438,36.34,114.03,183.857132,PM2.5,21220
164.080002,276.790009,81.239998,75.029999,2.370000,57.650002,-0.240000,-5.190000,290.429993,30.150000,99176.882812,36.33,114.2,214.080002,PM2.5,21221
191.360001,328.100006,83.040001,78.669998,2.390000,53.959999,-0.870000,-4.000000,290.119995,33.740002,100241.796875,36.32,114.37,241.360001,PM2.5,21222
191.169998,333.239990,75.279999,80.019997,2.270000,63.330002,-0.900000,-1.560000,289.510010,38.200001,100492.210938,36.31,114.53,241.169998,PM2.5,21223
185.250000,329.170013,69.620003,74.680000,2.230000,67.940002,-0.410000,0.300000,289.160004,40.950001,100501.468750,36.29,114.7,235.250000,PM2.5,21224
181.580002,330.320007,66.529999,72.750000,2.320000,70.029999,0.050000,1.750000,288.940002,43.450001,100573.117188,36.28,114.87,231.580002,PM2.5,21225
174.710007,320.850006,60.880001,67.040001,2.270000,70.760002,0.120000,2.930000,288.910004,45.080002,100628.953125,36.27,115.04,224.710007,PM2.5,21226
164.830002,298.209991,52.619999,60.799999,2.000000,72.290001,-0.030000,3.710000,288.959991,45.820000,100648.507812,36.26,115.2,214.830002,PM2.5,21227
164.360001,286.660004,46.410000,56.770000,1.890000,75.580002,-0.050000,3.750000,288.820007,46.910000,100687.132812,36.24,115.37,214.360001,PM2.5,21228
107.620003,175.889999,50.560001,55.160000,1.870000,76.860001,-0.850000,-1.950000,287.700012,30.930000,94223.367188,36.5,113.71,140.775009,PM2.5,21465
118.029999,194.529999,57.009998,60.700001,1.940000,73.150002,-0.620000,-3.590000,288.410004,30.170000,95283.171875,36.49,113.88,154.328568,PM2.5,21466
140.729996,235.899994,71.059998,71.610001,2.250000,64.080002,-0.570000,-4.990000,289.250000,29.309999,96679.937500,36.48,114.04,186.757141,PM2.5,21467
169.350006,284.329987,81.660004,77.220001,2.390000,55.119999,-0.550000,-5.640000,290.140015,29.500000,98676.031250,36.47,114.21,219.350006,PM2.5,21468
200.300003,337.010010,83.519997,80.510002,2.430000,51.900002,-0.800000,-4.630000,290.140015,32.849998,100119.296875,36.45,114.38,250.300003,PM2.5,21469
202.710007,343.420013,74.750000,82.309998,2.280000,60.169998,-0.910000,-2.130000,289.540009,37.759998,100551.039062,36.44,114.55,252.710007,PM2.5,21470
198.059998,337.790009,69.000000,77.220001,2.200000,67.070000,-0.620000,-0.190000,289.239990,40.400002,100535.859375,36.43,114.72,248.059998,PM2.5,21471
196.779999,340.850006,66.750000,74.650002,2.270000,69.750000,-0.100000,1.210000,288.980011,43.009998,100587.406250,36.42,114.88,246.779999,PM2.5,21472
189.330002,334.359985,62.369999,70.739998,2.370000,71.419998,0.320000,2.460000,288.910004,44.720001,100630.109375,36.4,115.05,239.330002,PM2.5,21473
174.490005,309.220001,55.459999,64.519997,2.130000,72.199997,0.210000,3.510000,289.000000,45.310001,100640.601562,36.39,115.22,224.490005,PM2.5,21474
99.309998,163.179993,47.090000,50.529999,1.820000,75.870003,-2.010000,-3.740000,287.079987,29.180000,92364.242188,36.65,113.55,130.387497,PM2.5,21710
103.230003,171.389999,48.490002,53.080002,1.760000,74.580002,-2.640000,-4.150000,288.019989,28.190001,93575.367188,36.64,113.72,135.287506,PM2.5,21711
113.500000,189.309998,54.090000,58.669998,1.820000,72.489998,-2.320000,-5.010000,288.820007,27.900000,95017.476562,36.62,113.89,148.125000,PM2.5,21712
139.720001,235.009995,68.870003,73.480003,2.190000,64.320000,-1.570000,-5.530000,289.519989,27.920000,96786.148438,36.61,114.06,185.314285,PM2.5,21713
172.619995,288.540009,82.239998,79.860001,2.380000,54.540001,-0.990000,-5.730000,289.829987,29.330000,98337.609375,36.6,114.23,222.619995,PM2.5,21714
208.330002,346.209991,85.669998,82.540001,2.460000,49.720001,-0.650000,-4.920000,289.880005,32.419998,99746.546875,36.59,114.4,258.330017,PM2.5,21715
213.100006,353.089996,74.989998,84.470001,2.320000,57.259998,-0.700000,-2.700000,289.589996,36.779999,100559.656250,36.58,114.56,263.100006,PM2.5,21716
205.789993,340.089996,66.690002,79.279999,2.170000,65.360001,-0.680000,-0.690000,289.369995,39.560001,100660.390625,36.56,114.73,255.789993,PM2.5,21717
204.320007,339.660004,64.370003,75.489998,2.190000,69.300003,-0.240000,0.600000,289.089996,42.320000,100686.757812,36.55,114.9,254.320007,PM2.5,21718
197.589996,332.970001,61.639999,72.669998,2.260000,71.769997,0.210000,1.790000,288.980011,44.200001,100722.820312,36.54,115.07,247.589996,PM2.5,21719
185.679993,317.519989,57.599998,68.870003,2.240000,72.919998,0.360000,2.910000,289.029999,44.880001,100719.343750,36.53,115.24,235.679993,PM2.5,21720
94.389999,157.339996,42.849998,44.610001,1.440000,72.910004,-2.430000,-5.260000,286.549988,29.110001,91102.718750,36.77,113.74,124.237503,PM2.5,21958
105.320000,176.110001,48.619999,51.099998,1.540000,72.550003,-1.900000,-5.670000,288.119995,27.809999,93606.078125,36.76,113.9,137.899994,PM2.5,21959
129.479996,216.580002,61.119999,68.199997,1.870000,68.709999,-1.210000,-5.920000,289.779999,26.600000,96727.593750,36.75,114.07,170.685715,PM2.5,21960
164.910004,272.790009,75.980003,81.739998,2.150000,59.590000,-0.930000,-5.710000,290.109985,28.000000,98547.257812,36.74,114.24,214.910004,PM2.5,21961
206.169998,336.769989,81.930000,85.080002,2.350000,52.599998,-0.580000,-4.800000,289.760010,31.940001,99769.523438,36.72,114.41,256.169983,PM2.5,21962
218.089996,353.459991,73.529999,86.529999,2.320000,57.060001,-0.500000,-3.080000,289.600006,36.020000,100552.648438,36.71,114.58,268.089996,PM2.5,21963
212.360001,342.320007,64.330002,80.279999,2.170000,64.389999,-0.740000,-1.240000,289.480011,38.680000,100777.179688,36.7,114.75,262.359985,PM2.5,21964
212.800003,344.760010,63.389999,77.879997,2.210000,68.309998,-0.450000,0.080000,289.200012,41.490002,100754.648438,36.69,114.92,262.799988,PM2.5,21965
205.110001,334.769989,61.639999,74.849998,2.240000,71.059998,-0.090000,1.140000,289.019989,43.680000,100764.140625,36.67,115.08,255.110001,PM2.5,21966
