PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
60.910000,89.279999,18.600000,21.910000,1.520000,42.669998,-0.220000,0.800000,269.059998,67.449997,78905.710938,35.42,106.08,82.387497,PM2.5,18968
53.790001,77.779999,18.830000,21.530001,1.350000,42.700001,3.600000,0.980000,268.679993,64.809998,77314.531250,35.42,106.25,73.487503,PM2.5,18969
51.919998,73.809998,20.370001,24.120001,1.330000,39.790001,4.810000,0.630000,271.429993,54.759998,80313.000000,35.42,106.42,71.149994,PM2.5,18970
64.019997,95.540001,18.400000,20.870001,1.510000,42.169998,-1.070000,0.990000,270.299988,61.849998,81077.343750,35.56,105.92,86.274994,PM2.5,19212
58.709999,86.230003,18.129999,21.049999,1.470000,42.160000,0.880000,1.590000,268.790009,64.849998,78168.843750,35.56,106.09,79.637497,PM2.5,19213
54.139999,78.440002,17.920000,21.370001,1.370000,41.910000,4.280000,1.250000,269.149994,58.320000,77224.273438,35.56,106.25,73.925003,PM2.5,19214
53.639999,77.660004,21.520000,26.790001,1.430000,36.930000,4.020000,-0.400000,271.720001,50.380001,80672.117188,35.56,106.42,73.300003,PM2.5,19215
68.610001,106.150002,19.450001,20.230000,1.620000,40.700001,-0.200000,0.050000,269.980011,61.889999,81560.656250,35.7,105.75,92.012497,PM2.5,19456
62.570000,94.129997,18.080000,20.010000,1.510000,41.930000,0.020000,0.920000,269.670013,62.700001,80548.179688,35.7,105.92,84.462502,PM2.5,19457
57.650002,85.050003,17.980000,20.469999,1.440000,41.580002,2.210000,1.660000,269.130005,61.610001,78785.593750,35.7,106.09,78.312500,PM2.5,19458
54.500000,79.290001,17.900000,21.320000,1.380000,40.880001,4.200000,1.010000,270.320007,54.259998,78977.476562,35.69,106.25,74.375000,PM2.5,19459
54.040001,79.120003,21.790001,28.110001,1.480000,35.639999,3.350000,-1.070000,271.690002,49.450001,81479.039062,35.69,106.42,73.800003,PM2.5,19460
67.779999,118.800003,16.660000,17.860001,1.600000,41.770000,-0.530000,-0.610000,269.250000,59.490002,80870.226562,35.83,105.42,90.974998,PM2.5,19697
70.970001,121.029999,20.990000,20.260000,1.730000,39.610001,-0.290000,-0.510000,269.179993,61.540001,80876.531250,35.83,105.59,94.962502,PM2.5,19698
65.610001,108.349998,22.809999,20.170000,1.610000,40.110001,-0.150000,-0.460000,269.299988,62.580002,81014.929688,35.83,105.75,88.262497,PM2.5,19699
61.330002,97.760002,21.930000,20.650000,1.520000,40.310001,0.680000,0.320000,268.760010,65.269997,79993.398438,35.83,105.92,82.912506,PM2.5,19700
56.799999,87.059998,20.900000,20.969999,1.440000,39.860001,3.230000,0.890000,268.720001,61.980000,78874.421875,35.83,106.09,77.250000,PM2.5,19701
54.810001,83.099998,21.790001,22.959999,1.410000,37.980000,4.420000,-0.040000,270.480011,54.369999,80232.031250,35.83,106.26,74.762505,PM2.5,19702
53.189999,79.800003,24.600000,27.629999,1.440000,34.849998,3.390000,-1.370000,271.459991,49.689999,82419.132812,35.83,106.42,72.737495,PM2.5,19703
