PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
0.900000,1.010000,0.080000,0.250000,0.110000,82.470001,10.430000,4.120000,262.619995,56.049999,56363.210938,31.71,96.11,2.750000,CO,12494
0.970000,1.080000,0.100000,0.340000,0.110000,81.570000,7.360000,1.550000,268.329987,37.520000,60804.480469,31.74,96.59,2.750000,CO,12497
1.000000,1.120000,0.110000,0.330000,0.110000,81.180000,6.010000,1.820000,267.920013,39.570000,60532.378906,31.75,96.75,2.750000,CO,12498
0.610000,0.680000,0.050000,0.330000,0.110000,79.110001,9.040000,3.420000,259.260010,70.599998,54977.398438,31.81,95.62,2.750000,CO,12741
0.660000,0.740000,0.060000,0.300000,0.110000,80.139999,9.050000,4.260000,260.739990,63.980000,55832.289062,31.82,95.78,2.750000,CO,12742
0.680000,0.770000,0.060000,0.260000,0.110000,81.489998,9.980000,4.560000,262.299988,56.150002,56537.949219,31.84,95.94,2.750000,CO,12743
0.700000,0.790000,0.070000,0.250000,0.110000,82.300003,10.270000,4.010000,265.869995,43.330002,58984.429688,31.85,96.1,2.750000,CO,12744
0.750000,0.850000,0.080000,0.400000,0.110000,81.489998,8.930000,1.310000,266.279999,41.009998,59173.199219,31.87,96.42,2.750000,CO,12746
0.840000,0.950000,0.110000,0.420000,0.110000,80.550003,7.770000,1.190000,266.609985,40.279999,59582.019531,31.88,96.58,2.750000,CO,12747
0.870000,0.990000,0.110000,0.370000,0.120000,78.940002,5.790000,1.840000,267.880005,40.599998,60844.199219,31.89,96.74,3.000000,CO,12748
0.500000,0.570000,0.040000,0.320000,0.110000,77.760002,9.320000,4.160000,258.079987,73.510002,54311.351562,31.94,95.45,2.750000,CO,12990
0.510000,0.580000,0.040000,0.290000,0.110000,79.160004,10.250000,3.910000,260.160004,62.650002,55465.839844,31.95,95.61,2.750000,CO,12991
0.540000,0.610000,0.050000,0.270000,0.110000,79.870003,9.600000,4.080000,262.730011,53.480000,57355.910156,31.96,95.77,2.750000,CO,12992
0.560000,0.640000,0.050000,0.250000,0.110000,80.669998,9.420000,3.580000,264.510010,47.910000,58578.519531,31.97,95.93,2.750000,CO,12993
0.580000,0.660000,0.060000,0.240000,0.110000,80.089996,9.220000,2.300000,266.600006,41.200001,59986.390625,31.98,96.09,2.750000,CO,12994
0.630000,0.720000,0.080000,0.310000,0.110000,79.830002,8.620000,1.620000,267.149994,39.610001,60319.160156,31.99,96.25,2.750000,CO,12995
0.710000,0.820000,0.110000,0.400000,0.110000,79.599998,8.960000,1.800000,265.619995,43.009998,58975.808594,32.0,96.41,2.750000,CO,12996
