PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
125.830002,207.910004,45.090000,54.200001,2.240000,45.820000,0.290000,-5.190000,283.940002,67.839996,101677.742188,34.59,115.51,165.471436,PM2.5,18271
110.120003,190.529999,42.419998,52.720001,2.110000,44.369999,0.340000,-5.280000,283.950012,68.730003,101771.453125,34.58,115.67,143.900009,PM2.5,18272
97.519997,171.110001,39.669998,50.730000,1.950000,43.230000,0.480000,-5.330000,284.000000,69.660004,101778.382812,34.57,115.84,128.149994,PM2.5,18273
133.220001,215.410004,47.099998,54.080002,2.300000,45.139999,0.220000,-5.070000,283.750000,69.220001,101679.468750,34.73,115.52,176.028580,PM2.5,18524
118.129997,197.979996,44.160000,52.580002,2.170000,43.470001,0.250000,-5.200000,283.709991,70.290001,101772.117188,34.71,115.69,154.471420,PM2.5,18525
104.629997,177.490005,41.220001,50.560001,1.990000,42.230000,0.370000,-5.230000,283.700012,71.339996,101767.296875,34.7,115.85,137.037491,PM2.5,18526
95.870003,160.139999,38.689999,48.130001,1.850000,41.369999,0.390000,-5.120000,283.720001,72.970001,101708.921875,34.69,116.02,126.087502,PM2.5,18527
92.040001,146.839996,36.930000,44.790001,1.730000,42.830002,0.430000,-5.150000,283.720001,75.660004,101712.828125,34.67,116.18,121.300003,PM2.5,18528
90.019997,136.830002,35.500000,41.520000,1.620000,46.619999,0.560000,-5.150000,283.720001,78.440002,101739.570312,34.66,116.35,118.774994,PM2.5,18529
89.239998,127.580002,36.500000,27.670000,1.340000,59.500000,1.900000,-6.490000,283.899994,90.230003,101961.382812,34.58,117.17,117.799995,PM2.5,18534
83.449997,124.150002,37.060001,28.209999,1.450000,43.740002,2.240000,-5.680000,283.059998,90.760002,101532.359375,34.55,117.5,110.562500,PM2.5,18536
75.639999,114.720001,30.900000,26.379999,1.410000,45.490002,2.400000,-5.910000,283.290009,91.059998,101652.523438,34.54,117.66,100.800003,PM2.5,18537
45.200001,71.139999,15.860000,31.690001,1.400000,44.119999,2.150000,-6.720000,283.769989,94.930000,101545.148438,34.49,118.15,62.750000,PM2.5,18540
34.880001,55.410000,12.900000,33.900002,1.430000,40.849998,1.910000,-6.840000,284.170013,95.660004,101421.843750,34.47,118.32,52.705002,PM10,18541
154.699997,234.039993,50.250000,54.150002,2.470000,48.270000,0.150000,-4.880000,283.600006,69.419998,101627.281250,34.88,115.38,204.699997,PM2.5,18775
143.210007,224.289993,48.900002,54.000000,2.370000,43.919998,0.120000,-5.000000,283.570007,70.629997,101704.117188,34.86,115.54,190.300003,PM2.5,18776
128.559998,205.619995,45.660000,52.299999,2.200000,42.400002,0.190000,-5.140000,283.500000,71.989998,101760.117188,34.85,115.71,169.371429,PM2.5,18777
114.199997,184.679993,42.549999,50.259998,2.040000,40.980000,0.280000,-5.110000,283.459991,73.209999,101776.960938,34.84,115.87,149.000000,PM2.5,18778
104.790001,167.520004,40.560001,48.049999,1.910000,39.660000,0.230000,-4.990000,283.470001,74.769997,101764.007812,34.82,116.04,137.237503,PM2.5,18779
100.910004,154.830002,39.360001,45.330002,1.780000,39.340000,0.260000,-5.070000,283.489990,77.019997,101787.937500,34.81,116.2,132.387512,PM2.5,18780
98.430000,144.929993,38.110001,42.509998,1.670000,41.919998,0.440000,-5.040000,283.510010,79.529999,101830.382812,34.79,116.36,129.287506,PM2.5,18781
97.239998,138.539993,43.070000,32.189999,1.500000,38.810001,1.840000,-5.610000,282.700012,89.150002,101934.140625,34.72,117.19,127.799995,PM2.5,18786
90.260002,130.919998,38.220001,29.940001,1.440000,40.820000,1.730000,-5.480000,282.890015,90.139999,101636.132812,34.7,117.35,119.075005,PM2.5,18787
83.190002,122.709999,37.299999,28.820000,1.400000,41.029999,1.860000,-5.750000,283.140015,90.230003,101423.796875,34.69,117.52,110.237503,PM2.5,18788
74.080002,111.120003,29.620001,26.690001,1.350000,44.959999,1.880000,-5.840000,283.380005,90.440002,101585.453125,34.67,117.68,98.850006,PM2.5,18789
44.130001,67.459999,15.670000,33.090000,1.370000,41.930000,1.130000,-7.090000,283.890015,94.860001,101500.976562,34.62,118.17,61.412502,PM2.5,18792
33.020000,51.799999,12.610000,35.180000,1.370000,39.459999,1.080000,-6.950000,284.220001,95.750000,101328.773438,34.6,118.34,50.900002,PM10,18793
163.000000,225.940002,50.099998,51.560001,2.520000,57.439999,0.190000,-3.930000,283.559998,67.949997,101522.210938,35.05,114.9,213.000000,PM2.5,19021
169.720001,238.449997,52.450001,53.700001,2.580000,54.639999,0.210000,-4.220000,283.609985,67.800003,101551.546875,35.04,115.06,219.720001,PM2.5,19022
170.029999,245.279999,53.340000,54.630001,2.620000,50.040001,0.080000,-4.490000,283.519989,69.339996,101600.890625,35.03,115.23,220.029999,PM2.5,19023
165.309998,242.949997,52.220001,54.400002,2.550000,46.490002,0.020000,-4.760000,283.429993,70.970001,101668.953125,35.01,115.39,215.309998,PM2.5,19024
154.910004,230.850006,49.930000,53.919998,2.390000,42.560001,0.030000,-4.970000,283.329987,72.379997,101720.640625,35.0,115.56,204.910004,PM2.5,19025
140.649994,211.449997,45.790001,51.930000,2.210000,41.770000,0.120000,-5.110000,283.290009,73.610001,101754.046875,34.99,115.72,186.642853,PM2.5,19026
124.800003,189.369995,42.770000,49.779999,2.040000,40.459999,0.170000,-5.060000,283.279999,74.669998,101772.617188,34.97,115.89,164.000000,PM2.5,19027
114.820000,172.899994,41.360001,47.750000,1.920000,38.669998,0.050000,-4.900000,283.309998,76.239998,101819.351562,34.96,116.05,149.774994,PM2.5,19028
110.459999,161.960007,41.509998,45.500000,1.830000,36.779999,0.060000,-4.960000,283.279999,78.379997,101880.718750,34.94,116.22,144.324997,PM2.5,19029
106.760002,152.559998,41.070000,43.580002,1.730000,36.139999,0.320000,-4.930000,283.260010,80.680000,101907.546875,34.93,116.38,139.699997,PM2.5,19030
104.809998,147.350006,42.080002,41.959999,1.650000,37.529999,0.580000,-4.820000,283.230011,83.059998,101906.656250,34.91,116.55,137.262497,PM2.5,19031
107.970001,151.990005,51.810001,38.599998,1.640000,24.799999,1.420000,-5.250000,282.649994,90.199997,101752.851562,34.87,117.04,141.212494,PM2.5,19034
98.080002,140.029999,43.470001,34.049999,1.510000,33.509998,1.290000,-5.160000,282.890015,90.239998,101710.257812,34.85,117.21,128.850006,PM2.5,19035
88.239998,127.800003,35.349998,30.670000,1.420000,39.180000,1.030000,-5.560000,282.880005,90.449997,101306.296875,34.84,117.37,116.549995,PM2.5,19036
81.459999,119.220001,37.150002,30.170000,1.380000,38.450001,1.230000,-5.940000,282.880005,90.669998,100878.257812,34.82,117.54,108.074997,PM2.5,19037
