PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
26.629999,39.410000,11.640000,7.510000,0.850000,63.139999,-0.870000,1.330000,294.329987,68.769997,81757.750000,26.15,101.91,39.410000,PM10,3990
27.540001,41.950001,12.890000,8.500000,0.930000,64.610001,-0.020000,0.340000,295.690002,64.129997,83403.726562,26.15,102.06,41.950001,PM10,3991
26.469999,38.910000,12.240000,7.120000,0.860000,62.090000,-2.780000,2.780000,292.440002,76.120003,79625.093750,26.28,101.61,38.910000,PM10,4130
28.219999,41.439999,13.100000,7.430000,0.960000,61.599998,-1.770000,1.490000,293.570007,73.080002,81013.882812,26.28,101.76,41.439999,PM10,4131
29.190001,43.320000,13.550000,8.000000,1.050000,60.279999,-1.600000,0.950000,295.679993,65.059998,83393.507812,26.28,101.91,43.320000,PM10,4132
29.379999,44.299999,13.210000,8.070000,1.060000,61.720001,-1.510000,0.170000,295.519989,63.580002,82974.578125,26.29,102.06,44.299999,PM10,4133
29.030001,44.270000,12.350000,8.100000,0.950000,64.889999,-1.370000,-0.040000,295.320007,61.869999,82403.382812,26.29,102.21,44.270000,PM10,4134
27.230000,41.740002,10.890000,7.670000,0.760000,67.879997,-2.260000,1.410000,294.989990,60.570000,81580.140625,26.29,102.36,41.740002,PM10,4135
27.150000,42.209999,10.650000,7.290000,0.660000,69.930000,-4.580000,0.830000,293.510010,63.759998,80105.093750,26.3,102.66,42.209999,PM10,4137
31.549999,46.790001,16.850000,10.060000,1.310000,57.439999,-1.780000,0.370000,296.049988,65.629997,84171.468750,26.41,101.75,46.790001,PM10,4273
31.990000,47.279999,16.799999,9.500000,1.330000,59.080002,-1.720000,0.370000,297.269989,60.310001,85405.156250,26.42,101.9,47.279999,PM10,4274
31.900000,46.750000,14.490000,7.890000,1.200000,60.700001,-2.600000,0.180000,294.540009,66.120003,81693.796875,26.42,102.05,46.750000,PM10,4275
