PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
8.930000,14.590000,2.490000,3.930000,0.270000,77.459999,-5.340000,-10.150000,288.489990,73.470001,101242.257812,22.01,120.72,14.590000,PM10,953
9.580000,15.020000,2.510000,4.750000,0.270000,74.440002,-6.150000,-9.780000,287.070007,76.629997,99507.398438,22.14,120.74,15.020000,PM10,1059
10.960000,16.530001,2.490000,6.080000,0.280000,68.029999,-6.440000,-9.270000,285.059998,81.959999,97253.453125,22.28,120.76,16.530001,PM10,1177
19.360001,24.700001,6.480000,18.809999,0.310000,48.029999,1.310000,-5.620000,285.989990,70.750000,102183.820312,22.45,120.5,27.657145,PM2.5,1297
13.370000,17.830000,3.200000,10.210000,0.290000,58.650002,-1.910000,-4.690000,285.109985,72.489998,97618.476562,22.43,120.64,19.100000,PM2.5,1298
12.490000,17.110001,2.590000,7.190000,0.280000,64.169998,-5.600000,-7.490000,282.820007,86.220001,94346.171875,22.41,120.79,17.842857,PM2.5,1299
27.709999,34.840000,11.080000,27.490000,0.340000,41.360001,1.700000,-7.550000,285.390015,70.230003,101954.828125,22.6,120.38,39.585712,PM2.5,1421
20.920000,26.230000,7.150000,21.709999,0.320000,45.680000,1.930000,-4.920000,285.899994,70.430000,101612.687500,22.58,120.52,29.885714,PM2.5,1422
15.900000,20.080000,3.700000,12.050000,0.300000,56.720001,-1.550000,-3.540000,284.299988,73.849998,95884.867188,22.56,120.66,22.714285,PM2.5,1423
14.190000,18.100000,2.730000,8.900000,0.290000,59.389999,-4.550000,-5.970000,281.059998,88.489998,91935.992188,22.54,120.81,20.271427,PM2.5,1424
11.850000,15.650000,2.750000,5.480000,0.280000,67.699997,-3.850000,-9.190000,283.459991,85.239998,97108.117188,22.52,120.95,16.928572,PM2.5,1425
26.340000,34.119999,8.920000,20.360001,0.350000,48.419998,1.200000,-9.270000,285.170013,68.430000,101977.726562,22.75,120.25,37.628571,PM2.5,1548
26.730000,33.480000,9.930000,26.040001,0.340000,42.189999,2.180000,-7.470000,285.670013,70.059998,102116.140625,22.73,120.4,38.185715,PM2.5,1549
21.020000,25.910000,6.550000,21.250000,0.310000,46.619999,1.830000,-4.500000,285.730011,70.720001,100902.828125,22.71,120.54,30.028572,PM2.5,1550
17.850000,21.959999,4.010000,13.330000,0.300000,55.470001,-1.130000,-2.590000,283.109985,76.209999,93763.109375,22.69,120.68,25.500000,PM2.5,1551
16.150000,20.040001,2.840000,10.590000,0.300000,55.820000,-4.250000,-4.590000,278.950012,95.120003,88445.703125,22.67,120.83,23.071428,PM2.5,1552
14.130000,18.190001,2.760000,6.950000,0.290000,62.000000,-4.330000,-8.570000,281.149994,90.550003,93727.656250,22.65,120.97,20.185715,PM2.5,1553
25.959999,33.540001,8.230000,18.990000,0.350000,49.759998,1.460000,-9.480000,285.140015,69.820000,101874.718750,22.88,120.27,37.085712,PM2.5,1676
25.780001,32.009998,8.760000,24.430000,0.330000,43.680000,2.310000,-7.580000,285.510010,69.669998,101823.382812,22.87,120.42,36.828571,PM2.5,1677
21.309999,25.709999,6.290000,21.309999,0.300000,47.779999,1.590000,-3.820000,285.410004,70.680000,99886.000000,22.85,120.56,30.442856,PM2.5,1678
19.809999,23.650000,4.670000,15.620000,0.290000,54.860001,-0.270000,-1.570000,281.910004,79.480003,91892.796875,22.83,120.71,28.299999,PM2.5,1679
17.459999,21.070000,3.310000,12.310000,0.300000,55.840000,-2.400000,-2.460000,277.450012,98.389999,85869.546875,22.81,120.85,24.942856,PM2.5,1680
15.340000,19.040001,2.930000,7.730000,0.290000,59.740002,-3.510000,-7.060000,279.200012,93.910004,90940.468750,22.79,120.99,21.914286,PM2.5,1681
11.310000,15.670000,2.920000,4.550000,0.280000,67.879997,-2.120000,-11.190000,284.649994,76.570000,100028.593750,22.77,121.14,16.157143,PM2.5,1682
24.190001,32.000000,7.730000,15.640000,0.340000,54.910000,-0.640000,-11.300000,284.619995,67.669998,102158.007812,23.04,120.15,34.557144,PM2.5,1808
25.809999,33.250000,7.910000,18.230000,0.350000,50.700001,1.550000,-9.800000,284.829987,69.099998,101877.617188,23.02,120.29,36.871429,PM2.5,1809
25.320000,31.090000,8.420000,24.070000,0.320000,44.290001,2.230000,-7.500000,285.279999,69.599998,101305.359375,23.0,120.44,36.171429,PM2.5,1810
21.820000,25.840000,6.740000,21.469999,0.280000,48.650002,0.960000,-3.240000,284.859985,71.309998,98419.578125,22.98,120.58,31.171429,PM2.5,1811
21.190001,24.840000,5.290000,17.690001,0.280000,50.810001,0.370000,-1.270000,280.989990,81.650002,90278.343750,22.96,120.73,30.271429,PM2.5,1812
18.680000,22.330000,3.690000,13.850000,0.300000,53.759998,-0.830000,-0.600000,276.369995,99.169998,83513.617188,22.94,120.87,26.685715,PM2.5,1813
16.309999,19.879999,3.130000,8.600000,0.290000,58.910000,-3.670000,-4.600000,277.420013,98.650002,87727.281250,22.92,121.02,23.299999,PM2.5,1814
12.430000,16.430000,3.150000,5.040000,0.290000,67.529999,-2.690000,-9.540000,283.179993,80.080002,97946.921875,22.9,121.16,17.757143,PM2.5,1815
24.000000,31.910000,7.420000,14.800000,0.340000,56.189999,-0.900000,-11.360000,284.720001,69.500000,102179.109375,23.17,120.17,34.285713,PM2.5,1942
25.719999,33.099998,7.690000,17.320000,0.350000,52.200001,1.170000,-9.970000,284.690002,70.019997,101724.921875,23.15,120.32,36.742855,PM2.5,1943
25.190001,30.520000,8.360000,23.370001,0.310000,45.480000,1.700000,-7.530000,284.630005,70.760002,100188.703125,23.13,120.46,35.985714,PM2.5,1944
21.940001,25.700001,7.630000,20.910000,0.260000,49.730000,-0.040000,-2.510000,284.070007,71.750000,96640.367188,23.11,120.6,31.342857,PM2.5,1945
22.510000,25.830000,6.260000,18.350000,0.250000,45.330002,1.490000,-0.290000,279.100006,86.860001,87378.460938,23.09,120.75,32.157143,PM2.5,1946
21.730000,25.059999,5.220000,16.180000,0.270000,51.860001,2.980000,1.340000,274.359985,99.989998,79105.843750,23.07,120.89,31.042856,PM2.5,1947
16.910000,20.260000,3.490000,9.750000,0.300000,60.599998,-1.910000,-2.330000,275.850006,99.809998,84425.906250,23.05,121.04,24.157143,PM2.5,1948
13.370000,16.870001,3.360000,5.830000,0.290000,67.099998,-2.980000,-8.800000,281.989990,81.070000,96609.492188,23.03,121.18,19.100000,PM2.5,1949
23.639999,31.629999,7.060000,13.420000,0.340000,58.279999,-1.280000,-11.610000,284.579987,69.050003,102232.039062,23.3,120.19,33.771427,PM2.5,2080
25.540001,32.919998,7.560000,16.290001,0.350000,53.959999,0.700000,-9.870000,284.359985,70.459999,101552.039062,23.28,120.34,36.485714,PM2.5,2081
25.490000,30.700001,8.410000,22.650000,0.310000,46.049999,1.300000,-7.250000,283.700012,72.940002,99098.070312,23.26,120.48,36.414284,PM2.5,2082
