PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
28.459999,49.930000,16.600000,47.560001,0.950000,31.920000,-4.700000,-4.500000,285.010010,41.520000,102425.679688,38.71,116.9,59.450001,NO2,26018
25.420000,44.490002,15.240000,44.720001,0.880000,34.759998,-4.700000,-4.920000,285.470001,44.740002,102422.406250,38.69,117.07,55.900002,NO2,26019
21.719999,38.389999,13.700000,41.299999,0.770000,38.049999,-4.970000,-5.240000,286.149994,48.599998,102421.867188,38.67,117.25,51.625000,NO2,26020
17.610001,30.340000,11.810000,32.720001,0.620000,44.830002,-5.810000,-5.530000,286.850006,52.110001,102423.093750,38.66,117.42,40.900002,NO2,26021
30.980000,55.070000,17.700001,49.310001,1.040000,27.709999,-4.830000,-3.810000,284.589996,38.130001,102446.570312,38.85,116.75,61.637501,NO2,26259
30.459999,54.939999,18.270000,49.240002,1.070000,28.930000,-4.830000,-4.270000,284.519989,38.070000,102454.367188,38.84,116.92,61.550003,NO2,26260
28.340000,51.259998,17.730000,48.169998,1.030000,31.320000,-4.880000,-4.750000,284.720001,38.950001,102473.593750,38.82,117.09,60.212498,NO2,26261
25.209999,45.549999,16.639999,46.540001,0.940000,34.340000,-5.380000,-5.400000,285.309998,42.299999,102463.890625,38.81,117.27,58.175003,NO2,26262
20.549999,35.900002,14.380000,39.419998,0.740000,41.189999,-6.120000,-6.210000,286.320007,48.320000,102454.156250,38.79,117.44,49.274998,NO2,26263
31.959999,57.310001,17.770000,50.090000,1.100000,24.650000,-4.770000,-3.620000,284.450012,38.299999,102473.296875,38.99,116.77,62.612499,NO2,26501
32.400002,59.959999,19.320000,51.459999,1.200000,24.209999,-4.820000,-3.840000,284.350006,37.139999,102494.617188,38.97,116.94,64.324997,NO2,26502
31.750000,59.830002,20.510000,51.570000,1.240000,25.230000,-4.900000,-4.300000,284.290009,35.880001,102512.023438,38.96,117.11,64.462502,NO2,26503
28.730000,53.779999,19.889999,49.029999,1.140000,29.639999,-4.870000,-4.790000,284.359985,35.240002,102503.429688,38.94,117.29,61.287498,NO2,26504
25.719999,48.139999,19.160000,47.150002,1.040000,32.720001,-5.000000,-5.610000,284.679993,36.820000,102486.226562,38.93,117.46,58.937500,NO2,26505
20.959999,37.570000,16.820000,39.220001,0.820000,38.849998,-5.680000,-6.290000,285.440002,41.730000,102471.640625,38.91,117.63,49.025002,NO2,26506
33.209999,61.919998,19.240000,52.610001,1.250000,20.840000,-4.590000,-3.590000,284.239990,37.750000,102509.640625,39.11,116.96,65.762497,NO2,26745
34.000000,65.459999,21.990000,54.700001,1.380000,19.910000,-4.920000,-4.080000,284.170013,35.959999,102520.453125,39.09,117.13,68.375000,NO2,26746
29.830000,56.599998,21.639999,49.880001,1.230000,26.809999,-5.160000,-4.510000,284.209991,34.570000,102518.476562,39.08,117.31,62.350002,NO2,26747
28.070000,53.900002,21.889999,49.360001,1.190000,29.780001,-5.360000,-5.150000,284.369995,34.470001,102496.679688,39.06,117.48,61.700001,NO2,26748
24.230000,44.740002,20.040001,45.009998,1.000000,34.080002,-5.800000,-6.110000,284.730011,37.270000,102471.656250,39.05,117.65,56.262497,NO2,26749
31.980000,57.419998,18.230000,48.880001,1.190000,21.660000,-4.780000,-3.630000,284.029999,39.820000,102523.382812,39.24,116.98,61.100002,NO2,26988
32.009998,59.480000,21.030001,50.619999,1.280000,21.860001,-4.930000,-3.820000,284.000000,36.880001,102541.109375,39.23,117.15,63.274998,NO2,26989
29.639999,55.290001,22.610001,48.630001,1.220000,25.969999,-5.130000,-4.190000,283.869995,33.959999,102537.531250,39.21,117.33,60.787502,NO2,26990
29.270000,56.020000,24.410000,49.320000,1.260000,27.469999,-5.200000,-4.670000,283.730011,31.440001,102506.117188,39.2,117.5,61.650002,NO2,26991
26.750000,49.980000,23.540001,47.820000,1.150000,30.680000,-5.510000,-5.400000,283.859985,31.580000,102489.273438,39.18,117.67,59.775002,NO2,26992
30.160000,50.279999,18.129999,41.590000,1.060000,26.719999,-4.930000,-3.760000,283.790009,43.349998,102550.406250,39.38,117.0,51.987499,NO2,27233
29.570000,50.779999,20.549999,42.439999,1.100000,27.650000,-4.900000,-3.800000,283.820007,40.560001,102555.140625,39.36,117.17,53.049999,NO2,27234
28.959999,51.450001,23.280001,43.200001,1.150000,28.790001,-4.890000,-3.840000,283.730011,37.619999,102534.570312,39.35,117.35,54.000000,NO2,27235
29.430000,54.560001,26.270000,45.880001,1.250000,28.209999,-4.950000,-4.160000,283.549988,33.930000,102512.289062,39.33,117.52,57.350002,NO2,27236
29.670000,56.220001,28.330000,48.060001,1.310000,27.920000,-4.930000,-4.460000,283.269989,29.320000,102510.367188,39.31,117.69,60.075001,NO2,27237
28.820000,54.299999,28.020000,47.680000,1.280000,28.840000,-4.720000,-5.190000,283.000000,25.379999,102526.992188,39.3,117.87,59.599998,NO2,27238
30.750000,49.029999,15.340000,40.290001,0.990000,25.799999,-5.080000,-2.840000,283.600006,47.689999,102488.078125,39.53,116.84,50.362503,NO2,27488
30.459999,49.720001,17.340000,41.230000,1.030000,25.889999,-5.270000,-3.640000,283.470001,46.009998,102557.726562,39.51,117.02,51.537498,NO2,27489
29.820000,50.009998,19.840000,41.299999,1.070000,27.379999,-5.040000,-3.980000,283.459991,43.439999,102547.828125,39.5,117.19,51.625000,NO2,27490
29.480000,51.299999,23.110001,42.130001,1.130000,28.629999,-4.630000,-3.970000,283.440002,40.639999,102514.789062,39.48,117.37,52.662502,NO2,27491
30.180000,55.090000,27.080000,44.689999,1.260000,27.879999,-4.560000,-4.200000,283.369995,37.689999,102517.101562,39.46,117.54,55.862499,NO2,27492
