PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
50.369999,82.570000,6.360000,7.450000,0.610000,91.190002,1.840000,2.500000,297.660004,59.279999,90778.007812,21.29,101.34,69.212502,PM2.5,182
47.130001,77.879997,6.320000,6.700000,0.580000,91.870003,1.530000,2.500000,296.739990,61.849998,89546.007812,21.29,101.49,65.162498,PM2.5,183
53.700001,77.739998,6.100000,5.350000,0.540000,100.470001,2.320000,2.770000,295.709991,64.709999,88173.742188,21.3,101.63,73.375000,PM2.5,184
43.139999,80.900002,6.370000,8.710000,0.620000,86.239998,1.670000,1.740000,298.609985,56.959999,92428.507812,21.42,101.2,65.449997,PM10,191
38.150002,73.830002,6.690000,7.370000,0.590000,81.309998,0.930000,1.470000,298.589996,57.680000,92876.382812,21.42,101.34,61.915001,PM10,192
37.169998,71.129997,6.760000,7.210000,0.570000,80.959999,1.490000,2.080000,297.450012,59.369999,90651.992188,21.43,101.48,60.564999,PM10,193
45.500000,72.339996,6.550000,5.860000,0.540000,92.070000,2.540000,2.690000,296.589996,61.040001,89076.648438,21.43,101.63,63.125000,PM2.5,194
23.570000,41.799999,4.030000,5.530000,0.360000,62.820000,1.660000,0.760000,297.579987,54.220001,89945.140625,21.52,100.33,41.799999,PM10,201
23.629999,49.310001,5.200000,8.830000,0.430000,59.080002,2.720000,1.360000,296.339996,57.570000,88224.937500,21.52,100.47,49.310001,PM10,202
25.809999,58.720001,6.510000,11.420000,0.510000,63.180000,3.140000,1.850000,297.589996,55.070000,90172.843750,21.53,100.62,54.360001,PM10,203
34.360001,70.500000,7.210000,8.360000,0.580000,77.809998,0.160000,1.190000,298.299988,57.360001,92494.406250,21.56,101.33,60.250000,PM10,204
37.360001,71.970001,7.070000,8.400000,0.580000,78.669998,1.360000,1.990000,296.760010,60.439999,89961.578125,21.56,101.48,60.985001,PM10,205
42.759998,70.559998,6.710000,6.200000,0.540000,87.199997,2.000000,2.020000,296.470001,61.279999,89653.343750,21.56,101.62,60.279999,PM10,206
