PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
50.720001,77.029999,14.290000,35.110001,0.680000,49.430000,-4.370000,-3.160000,280.059998,87.800003,95695.523438,27.31,119.77,69.650002,PM2.5,6300
38.419998,53.220001,13.910000,24.230000,0.550000,53.480000,-8.440000,1.380000,280.630005,68.220001,93582.726562,27.54,119.03,54.274998,PM2.5,6469
42.290001,59.130001,13.790000,26.350000,0.580000,51.419998,-7.520000,1.280000,278.250000,81.209999,91303.617188,27.52,119.18,59.112503,PM2.5,6470
46.360001,66.470001,14.010000,29.100000,0.620000,49.080002,-6.150000,0.360000,277.679993,87.959999,91323.117188,27.5,119.33,64.199997,PM2.5,6471
57.970001,89.019997,14.940000,44.090000,0.750000,40.810001,-3.170000,-2.920000,279.209991,89.599998,95742.773438,27.44,119.79,78.712502,PM2.5,6474
56.720001,87.959999,15.070000,43.230000,0.720000,42.700001,-4.520000,-2.020000,279.339996,91.639999,94810.281250,27.43,119.94,77.150002,PM2.5,6475
57.209999,88.360001,16.320000,44.310001,0.710000,40.610001,-3.550000,-3.630000,279.799988,92.650002,95446.796875,27.41,120.09,77.762497,PM2.5,6476
60.939999,92.080002,17.410000,41.009998,0.680000,37.110001,-0.030000,-5.820000,282.869995,82.430000,100889.062500,27.37,120.39,82.424995,PM2.5,6478
38.259998,53.139999,14.060000,25.280001,0.560000,50.020000,-7.050000,0.870000,282.839996,57.959999,96205.179688,27.69,118.9,54.074997,PM2.5,6649
39.020000,53.910000,13.590000,25.540001,0.560000,51.709999,-8.920000,0.590000,279.970001,68.870003,92679.242188,27.67,119.05,55.025002,PM2.5,6650
43.200001,60.770000,13.560000,28.360001,0.600000,48.380001,-6.900000,0.370000,277.869995,82.190002,91101.570312,27.65,119.2,60.250000,PM2.5,6651
46.439999,67.440002,13.640000,30.840000,0.630000,46.840000,-5.910000,1.270000,277.820007,85.610001,91466.570312,27.63,119.35,64.299995,PM2.5,6652
54.650002,81.900002,14.060000,40.389999,0.700000,41.950001,-2.770000,-1.240000,278.010010,94.290001,93758.578125,27.6,119.66,74.562500,PM2.5,6654
59.919998,93.099998,15.080000,49.639999,0.780000,37.570000,-1.770000,-2.300000,279.660004,88.190002,96818.937500,27.58,119.81,81.149994,PM2.5,6655
61.009998,96.410004,14.970000,50.020000,0.780000,37.830002,-3.640000,-1.660000,279.250000,91.379997,95684.429688,27.56,119.96,82.512497,PM2.5,6656
64.010002,102.019997,15.280000,53.380001,0.790000,35.970001,-3.430000,-2.690000,278.940002,95.639999,94716.859375,27.54,120.11,86.262505,PM2.5,6657
68.519997,113.250000,16.020000,57.560001,0.850000,33.189999,-0.510000,-3.740000,280.660004,90.320000,97839.140625,27.52,120.26,91.899994,PM2.5,6658
71.559998,119.440002,16.549999,54.220001,0.850000,33.070000,0.680000,-4.760000,282.619995,82.169998,101197.703125,27.5,120.41,95.699997,PM2.5,6659
