"_id","timestamp","device_id","battery_status","battery_level","battery_scale","battery_voltage","battery_temperature","battery_adaptor","battery_health","battery_technology"
"1","1.63678249355E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","38","100","4027","33","0","2","Li-poly"
"2","1.63678285507E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","37","100","3754","34","0","2","Li-poly"
"3","1.636783070107E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","36","100","3749","34","0","2","Li-poly"
"4","1.636783305644E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","35","100","3752","34","0","2","Li-poly"
"5","1.636783520654E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","34","100","3626","36","0","2","Li-poly"
"6","1.636783776695E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","33","100","3697","35","0","2","Li-poly"
"7","1.636783983874E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","32","100","3677","34","0","2","Li-poly"
"8","1.636784165813E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","31","100","3695","33","0","2","Li-poly"
"9","1.636784360384E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","30","100","3680","33","0","2","Li-poly"
"10","1.63678458566E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","29","100","3685","34","0","2","Li-poly"
"11","1.636784780201E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","28","100","3634","34","0","2","Li-poly"
"12","1.636784985003E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","27","100","3656","34","0","2","Li-poly"
"13","1.636785210299E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","26","100","3658","35","0","2","Li-poly"
"14","1.63678541509E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","25","100","3645","35","0","2","Li-poly"
"15","1.636785589152E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","24","100","3639","35","0","2","Li-poly"
"16","1.636785783738E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","23","100","3628","35","0","2","Li-poly"
"17","1.636785957838E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","22","100","3527","37","0","2","Li-poly"
"18","1.636786019229E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","21","100","3515","38","0","2","Li-poly"
"19","1.636786213809E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3","20","100","3624","37","0","2","Li-poly"
"20","1.636786239619E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","20","100","3638","37","2","2","Li-poly"
"21","1.636786240296E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","20","100","3522","37","1","2","Li-poly"
"22","1.636786326425E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","21","100","3810","36","1","2","Li-poly"
"23","1.636786408351E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","22","100","3876","35","1","2","Li-poly"
"24","1.636786541479E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","23","100","3936","35","1","2","Li-poly"
"25","1.636786623389E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","24","100","3941","35","1","2","Li-poly"
"26","1.636786705307E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","25","100","3940","35","1","2","Li-poly"
"27","1.636786797472E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","26","100","3944","35","1","2","Li-poly"
"28","1.636786889648E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","27","100","3944","36","1","2","Li-poly"
"29","1.636786981806E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","28","100","3966","35","1","2","Li-poly"
"30","1.636787063698E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","29","100","3960","36","1","2","Li-poly"
"31","1.636787155872E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","30","100","3973","35","1","2","Li-poly"
"32","1.636787248001E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","31","100","3933","35","1","2","Li-poly"
"33","1.63678735043E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","32","100","3956","35","1","2","Li-poly"
"34","1.6367874426E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","33","100","3967","35","1","2","Li-poly"
"35","1.636787524519E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","34","100","4001","35","1","2","Li-poly"
"36","1.636787606427E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","35","100","4010","35","1","2","Li-poly"
"37","1.636787698603E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","36","100","4018","35","1","2","Li-poly"
"38","1.636787780533E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","37","100","4005","35","1","2","Li-poly"
"39","1.636787862427E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","38","100","3993","36","1","2","Li-poly"
"40","1.636787954587E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","39","100","4006","35","1","2","Li-poly"
"41","1.636788067228E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","40","100","3971","35","1","2","Li-poly"
"42","1.63678816963E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","41","100","4004","35","1","2","Li-poly"
"43","1.636788272026E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","42","100","4024","35","1","2","Li-poly"
"44","1.636788353943E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","43","100","4042","35","1","2","Li-poly"
"45","1.636788446101E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","44","100","4017","35","1","2","Li-poly"
"46","1.636788528031E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","45","100","4040","35","1","2","Li-poly"
"47","1.636788609942E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","46","100","4048","35","1","2","Li-poly"
"48","1.636788702108E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","47","100","4052","35","1","2","Li-poly"
"49","1.636788784035E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","48","100","4051","35","1","2","Li-poly"
"50","1.636788855714E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","49","100","4067","35","1","2","Li-poly"
"51","1.636788937632E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2","50","100","4067","35","1","2","Li-poly"
